Code Station,N° article,mois_periode,quantite_mois,nb_commandes,mois,annee,num_mois,trimestre,mois_sin,mois_cos,est_t1,est_t4,saison_benin,Lag_1,Lag_3,Lag_12,Rolling_3m,Rolling_6m,Rolling_12m,Rolling_Std_3m,ratio_tendance,StationEncoded,ProduitEncoded
ST0002,A0001,2021-03,308000,7,2021-03-01,2021,3,1,1.0,6.123233995736766e-17,1,0,1,237000.0,451000.0,105000.0,273333.3333333333,290333.3333333333,259916.66666666663,162574.08567583375,1.0516,1,0
ST0002,A0001,2021-04,281000,8,2021-04-01,2021,4,2,0.8660254037844387,-0.4999999999999998,0,0,1,308000.0,132000.0,98000.0,225666.66666666663,288666.6666666667,276833.3333333333,88545.65677283854,0.8152,1,0
ST0002,A0001,2021-05,210000,6,2021-05-01,2021,5,2,0.4999999999999999,-0.8660254037844387,0,0,2,281000.0,237000.0,270000.0,275333.3333333333,284333.3333333333,292083.3333333333,35837.59664560847,0.9427,1,0
ST0002,A0001,2021-06,272000,7,2021-06-01,2021,6,2,1.2246467991473532e-16,-1.0,0,0,2,210000.0,308000.0,244000.0,266333.3333333333,269833.3333333333,287083.3333333333,50619.495585528384,0.9277,1,0
ST0002,A0001,2021-07,288000,8,2021-07-01,2021,7,3,-0.4999999999999997,-0.8660254037844388,0,0,2,272000.0,281000.0,355000.0,254333.3333333333,240000.0,289416.6666666667,38656.60788705247,0.8788,1,0
ST0002,A0001,2021-08,453000,8,2021-08-01,2021,8,3,-0.8660254037844385,-0.5000000000000004,0,0,3,288000.0,210000.0,305000.0,256666.66666666663,266000.0,283833.3333333333,41198.70548128092,0.9043,1,0
ST0002,A0001,2021-09,264000,8,2021-09-01,2021,9,3,-1.0,-1.8369701987210294e-16,0,0,3,453000.0,272000.0,318000.0,337666.6666666667,302000.0,296166.6666666667,100201.46372849712,1.1401,1,0
ST0002,A0001,2021-10,270000,9,2021-10-01,2021,10,4,-0.8660254037844386,0.5000000000000001,0,1,3,264000.0,288000.0,307000.0,335000.0,294666.6666666667,291666.6666666667,102893.1484599436,1.1486,1,0
ST0002,A0001,2021-11,294000,12,2021-11-01,2021,11,4,-0.5000000000000004,0.8660254037844384,0,1,3,270000.0,453000.0,297000.0,329000.0,292833.3333333333,288583.3333333333,107429.04635153378,1.14,1,0
ST0002,A0001,2021-12,287000,10,2021-12-01,2021,12,4,-2.4492935982947064e-16,1.0,0,1,0,294000.0,264000.0,451000.0,276000.0,306833.3333333333,288333.3333333333,15874.507866387305,0.9572,1,0
ST0002,A0001,2022-01,270000,11,2022-01-01,2022,1,1,0.4999999999999999,0.8660254037844387,1,0,0,287000.0,270000.0,132000.0,283666.6666666667,309333.3333333333,274666.6666666667,12342.3390543821,1.0328,1,0
ST0002,A0001,2022-02,289000,13,2022-02-01,2022,2,1,0.8660254037844386,0.5000000000000001,1,0,0,270000.0,294000.0,237000.0,283666.6666666667,306333.3333333333,286166.6666666667,12342.3390543821,0.9913,1,0
ST0002,A0001,2022-03,339000,13,2022-03-01,2022,3,1,1.0,6.123233995736766e-17,1,0,1,289000.0,287000.0,308000.0,282000.0,279000.0,290500.0,10440.30650891019,0.9707,1,0
ST0002,A0001,2022-04,270000,10,2022-04-01,2022,4,2,0.8660254037844387,-0.4999999999999998,0,0,1,339000.0,270000.0,281000.0,299333.3333333333,291500.0,293083.3333333333,35641.73583501969,1.0213,1,0
ST0002,A0001,2022-05,296000,8,2022-05-01,2022,5,2,0.4999999999999999,-0.8660254037844387,0,0,2,270000.0,289000.0,210000.0,299333.3333333333,291500.0,292166.6666666667,35641.73583501969,1.0245,1,0
ST0002,A0001,2022-06,211000,14,2022-06-01,2022,6,2,1.2246467991473532e-16,-1.0,0,0,2,296000.0,339000.0,272000.0,301666.6666666667,291833.3333333333,299333.3333333333,34847.2858818779,1.0078,1,0
ST0002,A0001,2022-07,230000,10,2022-07-01,2022,7,3,-0.4999999999999997,-0.8660254037844388,0,0,2,211000.0,270000.0,288000.0,259000.0,279166.6666666667,294250.0,43554.56348076506,0.8802,1,0
