Code Station,N° article,Dernier_mois_connu,Prevision_mois_suivant_L,segment,cv,vol_moy,Stock_securite_L,Commande_totale_L,Stock_actuel_estime_L,Seuil_critique_L,Seuil_attention_L,Niveau_alerte,Priorite
ST0001,A0001,2025-12-01,104352,A — Stable,0.254,90814.81481481482,15653,120005,118000,15653,23480,OK,3
ST0001,A0002,2025-12-01,56600,B — Modéré,0.506,48384.61538461538,14150,70750,56000,14150,21225,OK,3
ST0002,A0001,2025-12-01,164882,B — Modéré,0.323,219000.0,41220,206102,212000,41220,61830,OK,3
ST0002,A0002,2025-12-01,22174,C — Erratique,1.13,154527.27272727274,8870,31044,20000,8870,13305,OK,3
ST0003,A0001,2025-12-01,38220,C — Erratique,0.572,33589.28571428572,15288,53508,72000,15288,22932,OK,3
ST0003,A0002,2025-11-01,42195,B — Modéré,0.543,24096.153846153848,10549,52744,41000,10549,15824,OK,3
ST0004,A0001,2025-12-01,22510,B — Modéré,0.354,36214.28571428572,5628,28138,15000,5628,8442,OK,3
ST0004,A0002,2025-11-01,3578,B — Modéré,0.412,14296.296296296296,894,4472,5000,894,1341,OK,3
ST0005,A0001,2025-11-01,3468,A — Stable,0.0,5000.0,520,3988,5000,520,780,OK,3
ST0005,A0002,2025-11-01,5999,C — Erratique,0.561,15272.727272727272,2400,8399,5000,2400,3600,OK,3
ST0006,A0001,2024-04-01,16712,A — Stable,0.248,23375.0,2507,19219,12000,2507,3760,OK,3
ST0006,A0002,2024-01-01,4505,C — Erratique,0.649,6937.5,1802,6307,4000,1802,2703,OK,3
ST0007,A0001,2025-12-01,9270,B — Modéré,0.395,9443.414634146342,2318,11588,8180,2318,3477,OK,3
ST0007,A0002,2025-12-01,14149,C — Erratique,0.733,28252.962962962964,5660,19809,18660,5660,8490,OK,3
ST0008,A0002,2025-12-01,6744,B — Modéré,0.472,7714.285714285715,1686,8430,5000,1686,2529,OK,3
ST0009,A0001,2025-12-01,27143,B — Modéré,0.5,25411.764705882353,6786,33929,30000,6786,10179,OK,3
ST0009,A0002,2025-12-01,27805,B — Modéré,0.378,15586.206896551725,6951,34756,25000,6951,10426,OK,3
ST0010,A0001,2025-12-01,51123,A — Stable,0.28,67466.66666666667,7668,58791,58000,7668,11502,OK,3
ST0010,A0002,2025-12-01,24930,C — Erratique,0.613,22483.333333333332,9972,34902,22000,9972,14958,OK,3
ST0011,A0001,2025-12-01,58082,B — Modéré,0.373,82850.0,14520,72602,75000,14520,21780,OK,3
ST0011,A0002,2025-12-01,11578,B — Modéré,0.459,17949.15254237288,2894,14472,10000,2894,4341,OK,3
ST0012,A0001,2025-12-01,38368,B — Modéré,0.431,60766.666666666664,9592,47960,35000,9592,14388,OK,3
ST0012,A0002,2025-12-01,29541,B — Modéré,0.535,53533.333333333336,7385,36926,25000,7385,11078,OK,3
ST0013,A0001,2025-12-01,17320,B — Modéré,0.464,22533.333333333332,4330,21650,20000,4330,6495,OK,3
ST0013,A0002,2025-12-01,18402,B — Modéré,0.539,20142.85714285714,4600,23002,20000,4600,6900,OK,3
ST0014,A0001,2025-12-01,14712,B — Modéré,0.454,12113.207547169812,3678,18390,15000,3678,5517,OK,3
ST0014,A0002,2025-12-01,19634,B — Modéré,0.441,19096.153846153848,4908,24542,25000,4908,7362,OK,3
ST0015,A0001,2025-12-01,25581,B — Modéré,0.331,20913.043478260868,6395,31976,38000,6395,9592,OK,3
ST0015,A0002,2025-12-01,14652,B — Modéré,0.302,12736.842105263158,3663,18315,15000,3663,5494,OK,3
ST0016,A0001,2025-12-01,57172,B — Modéré,0.334,52250.0,14293,71465,55000,14293,21440,OK,3
ST0016,A0002,2025-12-01,54106,B — Modéré,0.449,51283.333333333336,13526,67632,51000,13526,20289,OK,3
ST0017,A0001,2025-12-01,9828,A — Stable,0.268,7173.913043478261,1474,11302,10000,1474,2211,OK,3
ST0017,A0002,2025-12-01,34741,B — Modéré,0.397,41900.0,8685,43426,36000,8685,13028,OK,3
ST0018,A0001,2025-12-01,17745,B — Modéré,0.548,20037.037037037036,4436,22181,15000,4436,6654,OK,3
ST0018,A0002,2025-12-01,8622,C — Erratique,0.878,20153.846153846152,3449,12071,10000,3449,5174,OK,3
ST0019,A0001,2025-12-01,4696,B — Modéré,0.35,7352.941176470588,1174,5870,5000,1174,1761,OK,3
ST0019,A0002,2025-12-01,4164,B — Modéré,0.366,6666.666666666667,1041,5205,5000,1041,1562,OK,3
ST0020,A0001,2023-03-01,14847,B — Modéré,0.378,27884.615384615383,3712,18559,12000,3712,5568,OK,3
ST0020,A0002,2023-02-01,7994,B — Modéré,0.416,19875.0,1998,9992,3000,1998,2997,OK,3
ST0021,A0001,2025-12-01,28787,A — Stable,0.284,32904.76190476191,4318,33105,30000,4318,6477,OK,3
ST0021,A0002,2025-12-01,9941,B — Modéré,0.416,10625.0,2485,12426,10000,2485,3728,OK,3
ST0022,A0001,2025-12-01,46356,B — Modéré,0.428,37631.57894736842,11589,57945,39000,11589,17384,OK,3
ST0022,A0002,2025-12-01,35336,C — Erratique,0.588,31923.076923076922,14134,49470,64000,14134,21201,OK,3
ST0023,A0001,2025-12-01,20206,B — Modéré,0.538,41396.55172413793,5052,25258,30000,5052,7578,OK,3
ST0023,A0002,2025-12-01,25144,C — Erratique,0.589,44724.137931034486,10058,35202,30000,10058,15087,OK,3
ST0024,A0001,2025-12-01,10775,B — Modéré,0.502,16109.0,2694,13469,5000,2694,4041,OK,3
ST0024,A0002,2025-12-01,40402,B — Modéré,0.486,73158.33333333333,10100,50502,60000,10100,15150,OK,3
ST0025,A0001,2025-12-01,29357,B — Modéré,0.335,24333.333333333332,7339,36696,30000,7339,11008,OK,3
ST0025,A0002,2025-12-01,23313,B — Modéré,0.342,22333.333333333332,5828,29141,24000,5828,8742,OK,3
ST0026,A0001,2025-12-01,41663,B — Modéré,0.365,74100.0,10416,52079,52000,10416,15624,OK,3
ST0026,A0002,2025-12-01,19831,B — Modéré,0.34,19627.118644067796,4958,24789,21000,4958,7437,OK,3
ST0027,A0001,2025-12-01,14347,C — Erratique,0.723,14166.666666666666,5739,20086,12000,5739,8608,OK,3
ST0027,A0002,2025-12-01,35481,C — Erratique,0.722,30240.0,14192,49673,42000,14192,21288,OK,3
ST0028,A0001,2025-06-01,4548,C — Erratique,0.623,9325.581395348838,1819,6367,4000,1819,2728,OK,3
ST0028,A0002,2025-12-01,7425,C — Erratique,0.734,13750.0,2970,10395,10000,2970,4455,OK,3
ST0029,A0001,2025-12-01,56459,A — Stable,0.144,68769.23076923077,8469,64928,68000,8469,12704,OK,3
ST0029,A0002,2025-12-01,47457,A — Stable,0.223,38846.153846153844,7119,54576,52000,7119,10678,OK,3
ST0030,A0001,2025-12-01,16611,C — Erratique,0.735,16717.391304347828,6644,23255,15000,6644,9966,OK,3
ST0030,A0002,2025-12-01,28665,C — Erratique,0.764,34229.166666666664,11466,40131,40000,11466,17199,OK,3
ST0031,A0001,2025-12-01,40027,B — Modéré,0.341,53631.57894736842,10007,50034,47000,10007,15010,OK,3
ST0031,A0002,2025-12-01,26097,B — Modéré,0.376,25000.0,6524,32621,30000,6524,9786,OK,3
ST0032,A0001,2025-12-01,6768,B — Modéré,0.432,13619.047619047618,1692,8460,5000,1692,2538,OK,3
ST0032,A0002,2025-12-01,6093,B — Modéré,0.309,6125.0,1523,7616,5000,1523,2284,OK,3
ST0033,A0001,2022-03-01,5001,C — Erratique,0.552,7833.333333333333,2000,7001,5000,2000,3000,OK,3
ST0033,A0002,2022-03-01,16922,B — Modéré,0.546,29076.923076923078,4230,21152,15000,4230,6345,OK,3
ST0036,A0001,2025-12-01,9763,B — Modéré,0.385,15769.23076923077,2441,12204,10000,2441,3662,OK,3
ST0036,A0002,2025-12-01,27901,B — Modéré,0.343,37857.142857142855,6975,34876,40000,6975,10462,OK,3
ST0037,A0001,2025-05-01,4879,C — Erratique,0.552,5760.0,1952,6831,4000,1952,2928,OK,3
ST0037,A0002,2025-08-01,9929,B — Modéré,0.53,15263.157894736842,2482,12411,13000,2482,3723,OK,3
ST0038,A0002,2025-12-01,8251,B — Modéré,0.303,10625.0,2063,10314,10000,2063,3094,OK,3
ST0039,A0001,2025-12-01,74836,A — Stable,0.216,85586.20689655172,11225,86061,91000,11225,16838,OK,3
ST0039,A0002,2025-12-01,64208,B — Modéré,0.309,69379.31034482758,16052,80260,72000,16052,24078,OK,3
ST0040,A0001,2025-12-01,40832,A — Stable,0.294,34000.0,6125,46957,50000,6125,9188,OK,3
ST0040,A0002,2025-12-01,47695,A — Stable,0.143,41111.11111111111,7154,54849,47000,7154,10731,OK,3
