Code Station,N° article,semaine,quantite_semaine,nb_commandes,Lag_1,Lag_7,Rolling_4sem,Rolling_12sem,Rolling_Std_4sem,mois,semaine_annee,est_fin_mois,StationEncoded,ProduitEncoded
ST0001,A0001,2023-01-16,10000,1,12000.0,20000.0,17750.0,16428.571428571428,11026.483271348727,1,3,0,0,0
ST0001,A0001,2023-01-23,10000,1,10000.0,8000.0,16500.0,15625.0,11704.699910719624,1,4,0,0,0
ST0001,A0001,2023-01-30,14000,1,10000.0,16000.0,10500.0,15000.0,1000.0000000000034,1,5,1,0,0
ST0001,A0001,2023-02-06,14000,1,14000.0,15000.0,11500.0,14900.0,1914.8542155126781,2,6,0,0,0
ST0001,A0001,2023-02-13,10000,1,14000.0,34000.0,12000.0,14818.181818181818,2309.4010767585046,2,7,0,0,0
ST0001,A0001,2023-02-20,8000,1,10000.0,10000.0,12000.0,14416.666666666666,2309.4010767585046,2,8,0,0,0
ST0001,A0001,2023-02-27,12000,2,8000.0,12000.0,11500.0,13416.666666666666,3000.0000000000014,2,9,1,0,0
ST0001,A0001,2023-03-06,20000,1,12000.0,10000.0,11000.0,13750.0,2581.9888974716127,3,10,0,0,0
ST0001,A0001,2023-03-13,20000,1,20000.0,10000.0,12500.0,14083.333333333334,5259.911279353168,3,11,0,0,0
ST0001,A0001,2023-03-20,20000,1,20000.0,14000.0,15000.0,14500.0,6000.000000000001,3,12,0,0,0
ST0001,A0001,2023-03-27,20000,1,20000.0,14000.0,18000.0,13333.333333333334,4000.000000000002,3,13,1,0,0
ST0001,A0001,2023-04-03,20000,1,20000.0,10000.0,20000.0,14166.666666666666,0.0,4,14,0,0,0
ST0001,A0001,2023-04-10,28000,1,20000.0,8000.0,20000.0,14833.333333333334,0.0,4,15,0,0,0
ST0001,A0001,2023-05-08,45000,3,28000.0,12000.0,22000.0,16333.333333333334,4000.000000000002,5,19,0,0,0
ST0001,A0001,2023-05-15,40000,1,45000.0,20000.0,28250.0,19250.0,11786.291472158096,5,20,0,0,0
ST0001,A0001,2023-05-22,20000,1,40000.0,20000.0,33250.0,21416.666666666668,11354.147553500732,5,21,0,0,0
ST0001,A0001,2023-06-05,25000,1,20000.0,20000.0,33250.0,21916.666666666668,11354.147553500732,6,23,0,0,0
ST0001,A0001,2023-06-19,20000,1,25000.0,20000.0,32500.0,23166.666666666668,11902.380714238083,6,25,0,0,0
ST0001,A0001,2023-06-26,20000,1,20000.0,20000.0,26250.0,24166.666666666668,9464.847243000455,6,26,1,0,0
ST0001,A0001,2023-07-03,35000,1,20000.0,28000.0,21250.0,24833.333333333332,2500.0000000000014,7,27,0,0,0
ST0001,A0001,2023-07-17,20000,1,35000.0,45000.0,25000.0,26083.333333333332,7071.067811865475,7,29,0,0,0
ST0001,A0001,2023-07-24,40000,2,20000.0,40000.0,23750.0,26083.333333333332,7500.0,7,30,0,0,0
ST0001,A0001,2023-08-07,35000,2,40000.0,20000.0,28750.0,27750.0,10307.764064044151,8,32,0,0,0
ST0001,A0001,2023-08-14,23000,2,35000.0,25000.0,32500.0,29000.0,8660.254037844386,8,33,0,0,0
ST0001,A0001,2023-08-21,22000,2,23000.0,20000.0,29500.0,29250.0,9539.392014169456,8,34,0,0,0
ST0001,A0001,2023-09-25,20000,1,22000.0,20000.0,30000.0,28750.0,8906.926143924924,9,39,1,0,0
ST0001,A0001,2023-10-02,40000,2,20000.0,35000.0,25000.0,26666.666666666668,6782.329983125268,10,40,0,0,0
ST0001,A0001,2023-10-09,19000,1,40000.0,20000.0,26250.0,26666.666666666668,9251.126057585278,10,41,0,0,0
ST0001,A0001,2023-10-23,20000,1,19000.0,40000.0,25250.0,26583.333333333332,9912.113800799505,10,43,0,0,0
ST0001,A0001,2023-11-06,15000,1,20000.0,35000.0,24750.0,26166.666666666668,10177.589760514684,11,45,0,0,0
ST0001,A0001,2023-11-13,35000,2,15000.0,23000.0,23500.0,25750.0,11210.114480533492,11,46,0,0,0
ST0001,A0001,2023-11-27,20000,1,35000.0,22000.0,22250.0,27000.0,8770.214744615247,11,48,1,0,0
ST0001,A0001,2023-12-11,20000,1,20000.0,20000.0,22500.0,25750.0,8660.254037844386,12,50,0,0,0
ST0001,A0001,2023-12-18,15000,2,20000.0,40000.0,22500.0,25750.0,8660.254037844386,12,51,0,0,0
ST0001,A0001,2023-12-25,20000,1,15000.0,19000.0,22500.0,23666.666666666668,8660.254037844386,12,52,1,0,0
ST0001,A0001,2024-01-01,15000,2,20000.0,20000.0,18750.0,22416.666666666668,2499.9999999999995,1,1,0,0,0
ST0001,A0001,2024-01-15,25000,1,15000.0,15000.0,17500.0,21750.0,2886.751345948128,1,3,0,0,0
ST0001,A0001,2024-01-29,30000,3,25000.0,35000.0,18750.0,22000.0,4787.13553878169,1,5,1,0,0
ST0001,A0001,2024-02-05,27000,2,30000.0,20000.0,22500.0,22833.333333333332,6454.972243679028,2,6,0,0,0
ST0001,A0001,2024-02-12,8000,1,27000.0,20000.0,24250.0,21750.0,6500.0,2,7,0,0,0
ST0001,A0001,2024-02-19,35000,2,8000.0,15000.0,22500.0,20833.333333333332,9882.644720249062,2,8,0,0,0
ST0001,A0001,2024-02-26,20000,1,35000.0,20000.0,25000.0,22083.333333333332,11803.954139750516,2,9,1,0,0
ST0001,A0001,2024-03-04,40000,2,20000.0,15000.0,22500.0,22500.0,11445.523142259597,3,10,0,0,0
ST0001,A0001,2024-03-11,15000,1,40000.0,25000.0,25750.0,22916.666666666668,14568.802284333466,3,11,0,0,0
ST0001,A0001,2024-03-18,32000,2,15000.0,30000.0,27500.0,22500.0,11902.380714238083,3,12,0,0,0
ST0001,A0001,2024-04-01,15000,1,32000.0,27000.0,26750.0,23500.0,11354.147553500732,4,14,0,0,0
ST0001,A0001,2024-04-15,15000,1,15000.0,8000.0,25500.0,23500.0,12556.538801224908,4,16,0,0,0
ST0001,A0001,2024-04-22,63000,3,15000.0,35000.0,19250.0,23083.333333333332,8500.0,4,17,0,0,0
ST0001,A0001,2024-04-29,15000,1,63000.0,20000.0,31250.0,27083.333333333332,22632.94059551255,4,18,1,0,0
ST0001,A0001,2024-05-06,30000,2,15000.0,40000.0,27000.0,26250.0,24000.0,5,19,0,0,0
ST0001,A0001,2024-05-13,33000,2,30000.0,15000.0,30750.0,26250.0,22632.94059551255,5,20,0,0,0
ST0001,A0001,2024-05-20,35000,2,33000.0,32000.0,35250.0,26750.0,20105.9692628831,5,21,0,0,0
ST0001,A0001,2024-05-27,30000,2,35000.0,15000.0,28250.0,29000.0,9069.178573608528,5,22,1,0,0
ST0001,A0001,2024-06-03,18000,1,30000.0,15000.0,32000.0,28583.333333333332,2449.4897427831775,6,23,0,0,0
ST0001,A0001,2024-06-10,17000,3,18000.0,63000.0,29000.0,28416.666666666668,7615.773105863908,6,24,0,0,0
ST0001,A0001,2024-06-17,33000,2,17000.0,15000.0,25000.0,26500.0,8906.926143924926,6,25,0,0,0
ST0001,A0001,2024-06-24,35000,2,33000.0,30000.0,24500.0,28000.0,8185.352771872451,6,26,0,0,0
ST0001,A0001,2024-07-01,21000,2,35000.0,33000.0,25750.0,28250.0,9569.918146637061,7,27,0,0,0
ST0001,A0001,2024-07-08,30000,2,21000.0,35000.0,26500.0,28750.0,8850.612031567836,7,28,0,0,0
ST0001,A0001,2024-07-15,15000,1,30000.0,30000.0,29750.0,30000.0,6184.658438426491,7,29,0,0,0
ST0001,A0001,2024-07-22,15000,1,15000.0,18000.0,25250.0,26000.0,8958.236433584458,7,30,0,0,0
ST0001,A0001,2024-07-29,30000,2,15000.0,17000.0,20250.0,26000.0,7088.723439378912,7,31,1,0,0
ST0001,A0001,2024-08-05,30000,3,30000.0,33000.0,22500.0,26000.0,8660.254037844386,8,32,0,0,0
ST0001,A0001,2024-08-12,21000,1,30000.0,35000.0,22500.0,25750.0,8660.254037844386,8,33,0,0,0
ST0001,A0001,2024-08-19,15000,1,21000.0,21000.0,24000.0,24583.333333333332,7348.469228349534,8,34,0,0,0
ST0001,A0001,2024-08-26,30000,2,15000.0,30000.0,24000.0,23333.333333333332,7348.469228349534,8,35,1,0,0
ST0001,A0001,2024-09-02,25000,2,30000.0,15000.0,24000.0,24333.333333333332,7348.469228349534,9,36,0,0,0
ST0001,A0001,2024-09-09,13000,1,25000.0,15000.0,22750.0,25000.0,6344.28877022476,9,37,0,0,0
ST0001,A0001,2024-09-16,10000,1,13000.0,30000.0,20750.0,23333.333333333332,8098.353742170895,9,38,0,0,0
ST0001,A0001,2024-09-23,18000,2,10000.0,30000.0,19500.0,21250.0,9539.392014169456,9,39,0,0,0
ST0001,A0001,2024-09-30,12000,2,18000.0,21000.0,16500.0,21000.0,6557.438524302001,9,40,1,0,0
ST0001,A0001,2024-10-14,30000,2,12000.0,15000.0,13250.0,19500.0,3403.4296427770223,10,42,0,0,0
ST0001,A0001,2024-10-21,30000,2,30000.0,30000.0,17500.0,20750.0,9000.0,10,43,0,0,0
ST0001,A0001,2024-11-04,30000,3,30000.0,25000.0,22500.0,22000.0,9000.0,11,45,0,0,0
ST0001,A0001,2024-11-11,25000,3,30000.0,13000.0,25500.0,22000.0,9000.0,11,46,0,0,0
ST0001,A0001,2024-11-18,35000,3,25000.0,10000.0,28750.0,21583.333333333332,2499.9999999999977,11,47,0,0,0
ST0001,A0001,2024-11-25,15000,2,35000.0,18000.0,30000.0,22750.0,4082.482904638629,11,48,1,0,0
ST0001,A0001,2024-12-02,35000,2,15000.0,12000.0,26250.0,22750.0,8539.125638299665,12,49,0,0,0
ST0001,A0001,2024-12-09,40000,3,35000.0,30000.0,27500.0,23166.666666666668,9574.27107756338,12,50,0,0,0
ST0001,A0001,2024-12-23,44000,2,40000.0,30000.0,31250.0,24416.666666666668,11086.778913041726,12,52,0,0,0
ST0001,A0001,2025-01-06,11000,1,44000.0,30000.0,33500.0,27000.0,12871.156384205215,1,2,0,0,0
ST0001,A0001,2025-01-13,25000,3,11000.0,25000.0,32500.0,27083.333333333332,14798.648586948742,1,3,0,0,0
ST0001,A0001,2025-01-20,25000,2,25000.0,35000.0,30000.0,27666.666666666668,15077.577170531522,1,4,0,0,0
ST0001,A0001,2025-01-27,20000,1,25000.0,15000.0,26250.0,28750.0,13549.292724468438,1,5,1,0,0
ST0001,A0001,2025-02-03,25000,3,20000.0,35000.0,20250.0,27916.666666666668,6601.767440112785,2,6,0,0,0
ST0001,A0001,2025-02-10,30000,1,25000.0,40000.0,23750.0,27500.0,2499.9999999999977,2,7,0,0,0
ST0001,A0001,2025-02-17,32000,3,30000.0,44000.0,25000.0,27500.0,4082.482904638629,2,8,0,0,0
ST0001,A0001,2025-02-24,8000,1,32000.0,11000.0,26750.0,28083.333333333332,5377.421934967225,2,9,0,0,0
ST0001,A0001,2025-03-03,30000,2,8000.0,25000.0,23750.0,25833.333333333332,10904.89186863706,3,10,0,0,0
ST0001,A0001,2025-03-10,40000,3,30000.0,25000.0,25000.0,27083.333333333332,11372.481406154653,3,11,0,0,0
ST0001,A0001,2025-03-24,10000,1,40000.0,20000.0,27500.0,27500.0,13699.148392023011,3,13,0,0,0
ST0001,A0001,2025-03-31,28000,2,10000.0,25000.0,22000.0,25000.0,15577.76192739723,3,14,1,0,0
ST0001,A0001,2025-04-07,20000,2,28000.0,30000.0,27000.0,23666.666666666668,12489.995996796795,4,15,0,0,0
ST0001,A0001,2025-04-14,15000,1,20000.0,32000.0,24500.0,24416.666666666668,12688.57754044952,4,16,0,0,0
ST0001,A0001,2025-04-21,25000,2,15000.0,8000.0,18250.0,23583.333333333332,7675.7192931129675,4,17,0,0,0
ST0001,A0001,2025-04-28,10000,1,25000.0,30000.0,22000.0,23583.333333333332,5715.4760664940795,4,18,1,0,0
ST0001,A0001,2025-05-05,30000,3,10000.0,40000.0,17500.0,22750.0,6454.972243679025,5,19,0,0,0
ST0001,A0001,2025-05-12,10000,1,30000.0,10000.0,20000.0,23166.666666666668,9128.709291752766,5,20,0,0,0
