Code Station,N° article,mois_periode,quantite_mois,nb_commandes,mois,annee,num_mois,trimestre,mois_sin,mois_cos,est_t1,est_t4,saison_benin,Lag_1,Lag_3,Lag_12,Rolling_3m,Rolling_6m,Rolling_12m,Rolling_Std_3m,ratio_tendance,StationEncoded,ProduitEncoded,Segment_Optimal
ST0002,A0002,2021-03,220000,10,2021-03-01,2021,3,1,1.0,6.123233995736766e-17,1,0,1,195000.0,252000.0,5000.0,184000.0,195000.0,168750.0,74114.77585475112,1.0904,1,1,Erratique
ST0002,A0002,2021-04,224000,9,2021-04-01,2021,4,2,0.8660254037844387,-0.4999999999999998,0,0,1,220000.0,105000.0,67000.0,173333.33333333334,197333.3333333333,186666.66666666663,60484.15770541351,0.9286,1,1,Erratique
ST0002,A0002,2021-05,175000,7,2021-05-01,2021,5,2,0.4999999999999999,-0.8660254037844387,0,0,2,224000.0,195000.0,162000.0,213000.0,197666.66666666663,199750.0,15716.23364550168,1.0663,1,1,Erratique
ST0002,A0002,2021-06,197000,5,2021-06-01,2021,6,2,1.2246467991473532e-16,-1.0,0,0,2,175000.0,220000.0,191000.0,206333.3333333333,195166.66666666663,200833.3333333333,27209.067116190014,1.0274,1,1,Erratique
ST0002,A0002,2021-07,239000,7,2021-07-01,2021,7,3,-0.4999999999999997,-0.8660254037844388,0,0,2,197000.0,224000.0,248000.0,198666.66666666663,186000.0,201333.3333333333,24542.48017893328,0.9868,1,1,Erratique
ST0002,A0002,2021-08,332000,6,2021-08-01,2021,8,3,-0.8660254037844385,-0.5000000000000004,0,0,3,239000.0,175000.0,182000.0,203666.66666666663,208333.3333333333,200583.3333333333,32516.662395352523,1.0154,1,1,Erratique
ST0002,A0002,2021-09,162000,8,2021-09-01,2021,9,3,-1.0,-1.8369701987210294e-16,0,0,3,332000.0,197000.0,206000.0,256000.0,231166.66666666663,213083.3333333333,69086.9017976635,1.2014,1,1,Erratique
ST0002,A0002,2021-10,170000,8,2021-10-01,2021,10,4,-0.8660254037844386,0.5000000000000001,0,1,3,162000.0,239000.0,222000.0,244333.3333333333,221500.0,209416.66666666663,85125.39769853257,1.1667,1,1,Erratique
ST0002,A0002,2021-11,222000,12,2021-11-01,2021,11,4,-0.5000000000000004,0.8660254037844384,0,1,3,170000.0,332000.0,190000.0,221333.3333333333,212500.0,205083.3333333333,95923.5806949122,1.0792,1,1,Erratique
ST0002,A0002,2021-12,272000,11,2021-12-01,2021,12,4,-2.4492935982947064e-16,1.0,0,1,0,222000.0,162000.0,252000.0,184666.66666666663,220333.3333333333,207750.0,32578.111260988346,0.8889,1,1,Erratique
ST0002,A0002,2022-01,70000,4,2022-01-01,2022,1,1,0.4999999999999999,0.8660254037844387,1,0,0,272000.0,170000.0,105000.0,221333.3333333333,232833.3333333333,209416.66666666663,51003.26786916046,1.0569,1,1,Erratique
ST0002,A0002,2022-02,182000,9,2022-02-01,2022,2,1,0.8660254037844386,0.5000000000000001,1,0,0,70000.0,222000.0,195000.0,188000.0,204666.66666666663,206500.0,105204.56263869928,0.9104,1,1,Erratique
ST0002,A0002,2022-03,157000,7,2022-03-01,2022,3,1,1.0,6.123233995736766e-17,1,0,1,182000.0,272000.0,220000.0,174666.66666666666,179666.66666666666,205416.66666666663,101199.47298940513,0.8503,1,1,Erratique
ST0002,A0002,2022-04,250000,3,2022-04-01,2022,4,2,0.8660254037844387,-0.4999999999999998,0,0,1,157000.0,70000.0,224000.0,136333.33333333334,178833.33333333334,200166.66666666663,58790.58881601149,0.6811,1,1,Erratique
ST0002,A0002,2022-05,1078000,10,2022-05-01,2022,5,2,0.4999999999999999,-0.8660254037844387,0,0,2,250000.0,182000.0,175000.0,196333.3333333333,192166.66666666663,202333.3333333333,48128.30075260645,0.9703,1,1,Erratique
ST0002,A0002,2022-06,598000,11,2022-06-01,2022,6,2,1.2246467991473532e-16,-1.0,0,0,2,1078000.0,157000.0,197000.0,495000.0,334833.3333333333,277583.3333333333,507029.5849356327,1.7832,1,1,Erratique
ST0002,A0002,2022-07,349000,11,2022-07-01,2022,7,3,-0.4999999999999997,-0.8660254037844388,0,0,2,598000.0,250000.0,239000.0,642000.0,389166.6666666667,311000.0,415749.9248346294,2.0643,1,1,Erratique
ST0002,A0002,2022-08,350000,13,2022-08-01,2022,8,3,-0.8660254037844385,-0.5000000000000004,0,0,3,349000.0,1078000.0,332000.0,675000.0,435666.6666666667,320166.6666666667,370549.591822741,2.1083,1,1,Erratique
ST0002,A0002,2022-09,271000,10,2022-09-01,2022,9,3,-1.0,-1.8369701987210294e-16,0,0,3,350000.0,598000.0,162000.0,432333.3333333333,463666.6666666667,321666.6666666667,143472.41314389792,1.344,1,1,Erratique
ST0002,A0002,2022-10,267000,8,2022-10-01,2022,10,4,-0.8660254037844386,0.5000000000000001,0,1,3,271000.0,349000.0,170000.0,323333.3333333333,482666.6666666667,330750.0,45324.75409015838,0.9776,1,1,Erratique
ST0002,A0002,2022-11,241000,11,2022-11-01,2022,11,4,-0.5000000000000004,0.8660254037844384,0,1,3,267000.0,350000.0,222000.0,296000.0,485500.0,338833.3333333333,46808.11895387375,0.8736,1,1,Erratique
ST0002,A0002,2022-12,278000,10,2022-12-01,2022,12,4,-2.4492935982947064e-16,1.0,0,1,0,241000.0,271000.0,272000.0,259666.66666666663,346000.0,340416.6666666667,16289.055630494004,0.7628,1,1,Erratique
ST0002,A0002,2023-01,222000,7,2023-01-01,2023,1,1,0.4999999999999999,0.8660254037844387,1,0,0,278000.0,267000.0,70000.0,262000.0,292666.6666666667,340916.6666666667,18999.99999999987,0.7685,1,1,Erratique
ST0002,A0002,2023-02,208000,9,2023-02-01,2023,2,1,0.8660254037844386,0.5000000000000001,1,0,0,222000.0,241000.0,182000.0,247000.0,271500.0,353583.3333333333,28478.061731796195,0.6986,1,1,Erratique
ST0002,A0002,2023-03,248000,8,2023-03-01,2023,3,1,1.0,6.123233995736766e-17,1,0,1,208000.0,278000.0,157000.0,236000.0,247833.3333333333,355750.0,37040.5183549042,0.6634,1,1,Erratique
ST0002,A0002,2023-04,115000,3,2023-04-01,2023,4,2,0.8660254037844387,-0.4999999999999998,0,0,1,248000.0,222000.0,250000.0,226000.0,244000.0,363333.3333333333,20297.783130184314,0.622,1,1,Erratique
ST0002,A0002,2023-05,180000,7,2023-05-01,2023,5,2,0.4999999999999999,-0.8660254037844387,0,0,2,115000.0,208000.0,1078000.0,190333.3333333333,218666.66666666663,352083.3333333333,68237.33093647003,0.5406,1,1,Erratique
ST0002,A0002,2023-06,125000,6,2023-06-01,2023,6,2,1.2246467991473532e-16,-1.0,0,0,2,180000.0,248000.0,598000.0,181000.0,208500.0,277250.0,66505.6388586712,0.6528,1,1,Erratique
ST0002,A0002,2023-07,78000,3,2023-07-01,2023,7,3,-0.4999999999999997,-0.8660254037844388,0,0,2,125000.0,115000.0,349000.0,140000.0,183000.0,237833.3333333333,34999.99999999995,0.5886,1,1,Erratique
ST0002,A0002,2023-08,50000,3,2023-08-01,2023,8,3,-0.8660254037844385,-0.5000000000000004,0,0,3,78000.0,180000.0,350000.0,127666.66666666669,159000.0,215250.0,51052.26080530939,0.5931,1,1,Erratique
ST0002,A0002,2023-10,60000,2,2023-10-01,2023,10,4,-0.8660254037844386,0.5000000000000001,0,1,3,50000.0,125000.0,271000.0,84333.33333333333,132666.66666666666,190250.0,37898.98855290639,0.4433,1,1,Erratique
ST0002,A0002,2023-11,30000,2,2023-11-01,2023,11,4,-0.5000000000000004,0.8660254037844384,0,1,3,60000.0,78000.0,267000.0,62666.66666666666,101333.33333333331,172666.66666666666,14189.197769195032,0.3629,1,1,Erratique
ST0002,A0002,2023-12,45000,1,2023-12-01,2023,12,4,-2.4492935982947064e-16,1.0,0,1,0,30000.0,50000.0,241000.0,46666.66666666666,87166.66666666667,152916.66666666666,15275.25231651933,0.3052,1,1,Erratique
ST0002,A0002,2024-01,60000,4,2024-01-01,2024,1,1,0.4999999999999999,0.8660254037844387,1,0,0,45000.0,60000.0,278000.0,45000.0,64666.66666666666,136583.33333333334,14999.999999999862,0.3295,1,1,Erratique
ST0002,A0002,2024-02,120000,6,2024-02-01,2024,2,1,0.8660254037844386,0.5000000000000001,1,0,0,60000.0,30000.0,222000.0,45000.0,53833.333333333336,118416.66666666669,14999.999999999862,0.38,1,1,Erratique
ST0002,A0002,2024-03,55000,3,2024-03-01,2024,3,1,1.0,6.123233995736766e-17,1,0,1,120000.0,45000.0,208000.0,75000.0,60833.333333333336,109916.66666666669,39686.26966596881,0.6823,1,1,Erratique
ST0002,A0002,2024-04,40000,2,2024-04-01,2024,4,2,0.8660254037844387,-0.4999999999999998,0,0,1,55000.0,60000.0,248000.0,78333.33333333333,61666.66666666666,97166.66666666669,36170.89069035112,0.8062,1,1,Erratique
ST0002,A0002,2024-05,63000,6,2024-05-01,2024,5,2,0.4999999999999999,-0.8660254037844387,0,0,2,40000.0,120000.0,115000.0,71666.66666666667,58333.333333333336,79833.33333333333,42524.50274057686,0.8977,1,1,Erratique
ST0002,A0002,2024-06,73000,4,2024-06-01,2024,6,2,1.2246467991473532e-16,-1.0,0,0,2,63000.0,55000.0,180000.0,52666.66666666666,63833.333333333336,75500.0,11676.186592091162,0.6976,1,1,Erratique
ST0002,A0002,2024-07,15000,2,2024-07-01,2024,7,3,-0.4999999999999997,-0.8660254037844388,0,0,2,73000.0,40000.0,125000.0,58666.66666666666,68500.0,66583.33333333333,16921.386861995954,0.8811,1,1,Erratique
ST0002,A0002,2024-08,15000,2,2024-08-01,2024,8,3,-0.8660254037844385,-0.5000000000000004,0,0,3,15000.0,63000.0,78000.0,50333.333333333336,61000.0,57416.66666666666,31005.37587795589,0.8766,1,1,Erratique
ST0002,A0002,2024-09,30000,4,2024-09-01,2024,9,3,-1.0,-1.8369701987210294e-16,0,0,3,15000.0,73000.0,50000.0,34333.333333333336,43500.0,52166.66666666666,33486.31561299823,0.6581,1,1,Erratique
ST0002,A0002,2024-10,27000,3,2024-10-01,2024,10,4,-0.8660254037844386,0.5000000000000001,0,1,3,30000.0,15000.0,60000.0,20000.0,39333.333333333336,50500.0,8660.254037844115,0.396,1,1,Erratique
ST0002,A0002,2024-11,73000,5,2024-11-01,2024,11,4,-0.5000000000000004,0.8660254037844384,0,1,3,27000.0,15000.0,30000.0,24000.0,37166.66666666666,47750.0,7937.253933193479,0.5026,1,1,Erratique
ST0002,A0002,2024-12,34000,4,2024-12-01,2024,12,4,-2.4492935982947064e-16,1.0,0,1,0,73000.0,30000.0,45000.0,43333.333333333336,38833.333333333336,51333.333333333336,25735.83752927673,0.8441,1,1,Erratique
ST0002,A0002,2025-02,10000,2,2025-02-01,2025,2,1,0.8660254037844386,0.5000000000000001,1,0,0,34000.0,27000.0,60000.0,44666.66666666666,32333.33333333333,50416.66666666666,24785.748593361648,0.8859,1,1,Erratique
ST0002,A0002,2025-03,35000,2,2025-03-01,2025,3,1,1.0,6.123233995736766e-17,1,0,1,10000.0,73000.0,120000.0,39000.0,31500.0,46250.0,31796.22619116922,0.8432,1,1,Erratique
ST0002,A0002,2025-04,20000,2,2025-04-01,2025,4,2,0.8660254037844387,-0.4999999999999998,0,0,1,35000.0,34000.0,55000.0,26333.33333333333,34833.333333333336,39166.66666666666,14153.915830374604,0.6723,1,1,Erratique
ST0002,A0002,2025-05,10000,1,2025-05-01,2025,5,2,0.4999999999999999,-0.8660254037844387,0,0,2,20000.0,10000.0,40000.0,21666.666666666668,33166.666666666664,36250.0,12583.057392117737,0.5977,1,1,Erratique
ST0002,A0002,2025-06,10000,2,2025-06-01,2025,6,2,1.2246467991473532e-16,-1.0,0,0,2,10000.0,35000.0,63000.0,21666.666666666668,30333.33333333333,33750.0,12583.057392117737,0.642,1,1,Erratique
ST0002,A0002,2025-07,27000,2,2025-07-01,2025,7,3,-0.4999999999999997,-0.8660254037844388,0,0,2,10000.0,20000.0,73000.0,13333.333333333334,19833.33333333333,29333.33333333333,5773.5026918958665,0.4545,1,1,Erratique
ST0002,A0002,2025-09,31000,5,2025-09-01,2025,9,3,-1.0,-1.8369701987210294e-16,0,0,3,27000.0,10000.0,15000.0,15666.666666666666,18666.666666666668,25500.0,9814.954576223408,0.6144,1,1,Erratique
ST0002,A0002,2025-10,11000,2,2025-10-01,2025,10,4,-0.8660254037844386,0.5000000000000001,0,1,3,31000.0,10000.0,15000.0,22666.666666666668,22166.666666666668,26833.33333333333,11150.485789118284,0.8447,1,1,Erratique
