Code Station,N° article,mois_periode,quantite_mois,nb_commandes,mois,annee,num_mois,trimestre,mois_sin,mois_cos,est_t1,est_t4,saison_benin,Lag_1,Lag_3,Lag_12,Rolling_3m,Rolling_6m,Rolling_12m,Rolling_Std_3m,ratio_tendance,StationEncoded,ProduitEncoded,Segment_Optimal
ST0001,A0002,2023-10,109000,5,2023-10-01,2023,10,4,-0.8660254037844386,0.5000000000000001,0,1,3,90000.0,88000.0,15000.0,81000.0,75000.0,51666.66666666666,13892.443989449805,1.5677,0,1,Modere
ST0001,A0002,2023-11,86000,6,2023-11-01,2023,11,4,-0.5000000000000004,0.8660254037844384,0,1,3,109000.0,65000.0,22000.0,88000.0,84500.0,59500.0,22068.07649071391,1.479,0,1,Modere
ST0001,A0002,2023-12,85000,5,2023-12-01,2023,12,4,-2.4492935982947064e-16,1.0,0,1,0,86000.0,90000.0,23000.0,95000.0,84166.66666666667,64833.333333333336,12288.205727444503,1.4653,0,1,Modere
ST0001,A0002,2024-01,85000,7,2024-01-01,2024,1,1,0.4999999999999999,0.8660254037844387,1,0,0,85000.0,109000.0,44000.0,93333.33333333331,87166.66666666667,70000.0,13576.941236277533,1.3333,0,1,Modere
ST0001,A0002,2024-02,49000,5,2024-02-01,2024,2,1,0.8660254037844386,0.5000000000000001,1,0,0,85000.0,86000.0,30000.0,85333.33333333333,86666.66666666667,73416.66666666667,577.3502691894956,1.1623,0,1,Modere
ST0001,A0002,2024-03,15000,1,2024-03-01,2024,3,1,1.0,6.123233995736766e-17,1,0,1,49000.0,85000.0,36000.0,73000.0,84000.0,75000.0,20784.609690826524,0.9733,0,1,Modere
ST0001,A0002,2024-04,45000,2,2024-04-01,2024,4,2,0.8660254037844387,-0.4999999999999998,0,0,1,15000.0,85000.0,52000.0,49666.66666666666,71500.0,73250.0,35004.76158086687,0.678,0,1,Modere
ST0001,A0002,2024-05,15000,1,2024-05-01,2024,5,2,0.4999999999999999,-0.8660254037844387,0,0,2,45000.0,49000.0,88000.0,36333.333333333336,60833.333333333336,72666.66666666667,18583.14648635514,0.5,0,1,Modere
ST0001,A0002,2024-07,54000,4,2024-07-01,2024,7,3,-0.4999999999999997,-0.8660254037844388,0,0,2,15000.0,15000.0,67000.0,25000.0,49000.0,66583.33333333333,17320.508075688776,0.3755,0,1,Modere
ST0001,A0002,2024-08,15000,2,2024-08-01,2024,8,3,-0.8660254037844385,-0.5000000000000004,0,0,3,54000.0,45000.0,88000.0,38000.0,43833.333333333336,65500.0,20420.57785666213,0.5801,0,1,Modere
ST0001,A0002,2024-09,50000,7,2024-09-01,2024,9,3,-1.0,-1.8369701987210294e-16,0,0,3,15000.0,15000.0,65000.0,28000.0,32166.666666666668,59416.66666666666,22516.66049839541,0.4712,0,1,Modere
ST0001,A0002,2024-10,40000,4,2024-10-01,2024,10,4,-0.8660254037844386,0.5000000000000001,0,1,3,50000.0,54000.0,90000.0,39666.66666666666,32333.33333333333,58166.66666666666,21455.380055672125,0.6819,0,1,Modere
ST0001,A0002,2024-11,13000,2,2024-11-01,2024,11,4,-0.5000000000000004,0.8660254037844384,0,1,3,40000.0,15000.0,109000.0,35000.0,36500.0,54000.0,18027.756377319944,0.6481,0,1,Modere
ST0001,A0002,2024-12,41000,4,2024-12-01,2024,12,4,-2.4492935982947064e-16,1.0,0,1,0,13000.0,50000.0,86000.0,34333.333333333336,31166.666666666668,46000.0,19139.83629327413,0.7464,0,1,Modere
ST0001,A0002,2025-01,61000,4,2025-01-01,2025,1,1,0.4999999999999999,0.8660254037844387,1,0,0,41000.0,40000.0,85000.0,31333.33333333333,35500.0,42250.0,15885.003409925148,0.7416,0,1,Modere
ST0001,A0002,2025-02,35000,3,2025-02-01,2025,2,1,0.8660254037844386,0.5000000000000001,1,0,0,61000.0,13000.0,85000.0,38333.333333333336,36666.66666666666,40250.0,24110.85509336683,0.9524,0,1,Modere
