Code Station,N° article,mois_periode,quantite_mois,nb_commandes,mois,annee,num_mois,trimestre,mois_sin,mois_cos,est_t1,est_t4,saison_benin,Lag_1,Lag_3,Lag_12,Rolling_3m,Rolling_6m,Rolling_12m,Rolling_Std_3m,ratio_tendance,StationEncoded,ProduitEncoded,Segment_Optimal
ST0001,A0001,2023-10,79000,4,2023-10-01,2023,10,4,-0.8660254037844386,0.5000000000000001,0,1,3,20000.0,95000.0,20000.0,65000.0,68833.33333333333,57166.66666666666,39686.26966596886,1.137,0,0,Stable
ST0001,A0001,2023-11,70000,4,2023-11-01,2023,11,4,-0.5000000000000004,0.8660254037844384,0,1,3,79000.0,80000.0,24000.0,59666.66666666666,74000.0,62083.333333333336,34355.979586286485,0.9611,0,0,Stable
ST0001,A0001,2023-12,55000,4,2023-12-01,2023,12,4,-2.4492935982947064e-16,1.0,0,1,0,70000.0,20000.0,49000.0,56333.333333333336,68166.66666666667,65916.66666666667,31785.74103797697,0.8546,0,0,Stable
ST0001,A0001,2024-01,55000,5,2024-01-01,2024,1,1,0.4999999999999999,0.8660254037844387,1,0,0,55000.0,79000.0,56000.0,68000.0,66500.0,66416.66666666667,12124.355652982144,1.0238,0,0,Stable
ST0001,A0001,2024-02,105000,7,2024-02-01,2024,2,1,0.8660254037844386,0.5000000000000001,1,0,0,55000.0,70000.0,34000.0,60000.0,59833.333333333336,66333.33333333333,8660.254037844394,0.9045,0,0,Stable
ST0001,A0001,2024-03,87000,5,2024-03-01,2024,3,1,1.0,6.123233995736766e-17,1,0,1,105000.0,55000.0,90000.0,71666.66666666667,64000.0,72250.0,28867.513459481288,0.9919,0,0,Stable
ST0001,A0001,2024-04,93000,5,2024-04-01,2024,4,2,0.8660254037844387,-0.4999999999999998,0,0,1,87000.0,55000.0,48000.0,82333.33333333333,75166.66666666667,72000.0,25324.559884296774,1.1435,0,0,Stable
ST0001,A0001,2024-05,143000,9,2024-05-01,2024,5,2,0.4999999999999999,-0.8660254037844387,0,0,2,93000.0,105000.0,105000.0,95000.0,77500.0,75750.0,9165.151389911687,1.2541,0,0,Stable
ST0001,A0001,2024-06,103000,8,2024-06-01,2024,6,2,1.2246467991473532e-16,-1.0,0,0,2,143000.0,87000.0,65000.0,107666.66666666669,89666.66666666667,78916.66666666667,30746.27348693388,1.3643,0,0,Stable
ST0001,A0001,2024-07,96000,7,2024-07-01,2024,7,3,-0.4999999999999997,-0.8660254037844388,0,0,2,103000.0,93000.0,95000.0,113000.0,97666.66666666669,82083.33333333333,26457.513110645905,1.3766,0,0,Stable
ST0001,A0001,2024-08,111000,8,2024-08-01,2024,8,3,-0.8660254037844385,-0.5000000000000004,0,0,3,96000.0,143000.0,80000.0,114000.0,104500.0,82166.66666666667,25357.444666211934,1.3874,0,0,Stable
ST0001,A0001,2024-09,66000,6,2024-09-01,2024,9,3,-1.0,-1.8369701987210294e-16,0,0,3,111000.0,103000.0,20000.0,103333.33333333331,105500.0,84750.0,7505.553499465136,1.2193,0,0,Stable
ST0001,A0001,2024-10,72000,6,2024-10-01,2024,10,4,-0.8660254037844386,0.5000000000000001,0,1,3,66000.0,96000.0,79000.0,91000.0,102000.0,88583.33333333333,22912.8784747792,1.0273,0,0,Stable
ST0001,A0001,2024-11,105000,11,2024-11-01,2024,11,4,-0.5000000000000004,0.8660254037844384,0,1,3,72000.0,111000.0,70000.0,83000.0,98500.0,88000.0,24433.58344574123,0.9432,0,0,Stable
ST0001,A0001,2024-12,119000,7,2024-12-01,2024,12,4,-2.4492935982947064e-16,1.0,0,1,0,105000.0,66000.0,55000.0,81000.0,92166.66666666669,90916.66666666669,21000.0,0.8909,0,0,Stable
ST0001,A0001,2025-01,81000,7,2025-01-01,2025,1,1,0.4999999999999999,0.8660254037844387,1,0,0,119000.0,72000.0,55000.0,98666.66666666669,94833.33333333331,96250.0,24131.583730317685,1.0251,0,0,Stable
ST0001,A0001,2025-02,95000,8,2025-02-01,2025,2,1,0.8660254037844386,0.5000000000000001,1,0,0,81000.0,105000.0,105000.0,101666.66666666669,92333.33333333331,98416.66666666669,19218.0470738661,1.033,0,0,Stable
ST0001,A0001,2025-03,80000,6,2025-03-01,2025,3,1,1.0,6.123233995736766e-17,1,0,1,95000.0,119000.0,87000.0,98333.33333333331,89666.66666666667,97583.33333333331,19218.0470738661,1.0077,0,0,Stable
ST0001,A0001,2025-04,98000,8,2025-04-01,2025,4,2,0.8660254037844387,-0.4999999999999998,0,0,1,80000.0,81000.0,93000.0,85333.33333333333,92000.0,97000.0,8386.497083606071,0.8797,0,0,Stable
ST0001,A0001,2025-05,78000,9,2025-05-01,2025,5,2,0.4999999999999999,-0.8660254037844387,0,0,2,98000.0,95000.0,143000.0,91000.0,96333.33333333331,97416.66666666669,9643.650760992943,0.9341,0,0,Stable
ST0001,A0001,2025-06,71000,5,2025-06-01,2025,6,2,1.2246467991473532e-16,-1.0,0,0,2,78000.0,80000.0,103000.0,85333.33333333333,91833.33333333331,92000.0,11015.141094572196,0.9275,0,0,Stable
