Code Station,N° article,Horizon_mois,Prevision_L,IC_bas_L,IC_haut_L,Ordre_SARIMA
ST0001,A0001,1,0,0,183429,"(0, 0, 0)(0, 0, 0, 12)"
ST0001,A0001,2,0,0,183429,"(0, 0, 0)(0, 0, 0, 12)"
ST0001,A0001,3,0,0,183429,"(0, 0, 0)(0, 0, 0, 12)"
ST0001,A0001,4,0,0,183429,"(0, 0, 0)(0, 0, 0, 12)"
ST0001,A0001,5,0,0,183429,"(0, 0, 0)(0, 0, 0, 12)"
ST0001,A0001,6,0,0,183429,"(0, 0, 0)(0, 0, 0, 12)"
ST0001,A0001,7,0,0,183429,"(0, 0, 0)(0, 0, 0, 12)"
ST0001,A0001,8,0,0,183429,"(0, 0, 0)(0, 0, 0, 12)"
ST0001,A0001,9,0,0,183429,"(0, 0, 0)(0, 0, 0, 12)"
ST0001,A0001,10,0,0,183429,"(0, 0, 0)(0, 0, 0, 12)"
ST0001,A0001,11,0,0,183429,"(0, 0, 0)(0, 0, 0, 12)"
ST0001,A0001,12,0,0,183429,"(0, 0, 0)(0, 0, 0, 12)"
ST0006,A0001,1,8373,24,16723,"(1, 0, 0)(0, 0, 2, 12)"
ST0006,A0001,2,16278,7738,24818,"(1, 0, 0)(0, 0, 2, 12)"
ST0006,A0001,3,15531,6982,24080,"(1, 0, 0)(0, 0, 2, 12)"
ST0006,A0001,4,24005,15456,32554,"(1, 0, 0)(0, 0, 2, 12)"
ST0006,A0001,5,13544,4995,22093,"(1, 0, 0)(0, 0, 2, 12)"
ST0006,A0001,6,12826,4277,21375,"(1, 0, 0)(0, 0, 2, 12)"
ST0006,A0001,7,9665,1116,18214,"(1, 0, 0)(0, 0, 2, 12)"
ST0006,A0001,8,11326,2777,19875,"(1, 0, 0)(0, 0, 2, 12)"
ST0006,A0001,9,14472,5923,23021,"(1, 0, 0)(0, 0, 2, 12)"
ST0006,A0001,10,0,0,8316,"(1, 0, 0)(0, 0, 2, 12)"
ST0006,A0001,11,0,0,5587,"(1, 0, 0)(0, 0, 2, 12)"
ST0006,A0001,12,0,0,7637,"(1, 0, 0)(0, 0, 2, 12)"
ST0010,A0001,1,52660,24605,80715,"(0, 1, 1)(0, 0, 0, 12)"
