Code Station,N° article,Horizon,Prevision_L,IC_bas_L,IC_haut_L
ST0001,A0001,1,66710,46124,87295
ST0001,A0001,2,62194,36796,87593
ST0001,A0001,3,64426,38095,90757
ST0001,A0001,4,63323,34838,91808
ST0001,A0001,5,63868,34017,93719
ST0001,A0001,6,63599,32153,95044
ST0001,A0001,7,63732,30908,96556
ST0001,A0001,8,63666,29454,97878
ST0001,A0001,9,63699,28184,99213
ST0001,A0001,10,63683,26897,100469
ST0001,A0001,11,63691,25683,101698
ST0001,A0001,12,63687,24492,102882
ST0001,A0002,1,35542,24574,46509
ST0001,A0002,2,33136,19604,46668
ST0001,A0002,3,34325,20297,48354
ST0001,A0002,4,33737,18561,48914
ST0001,A0002,5,34028,18124,49932
ST0001,A0002,6,33884,17131,50638
ST0001,A0002,7,33955,16467,51443
ST0001,A0002,8,33920,15693,52148
ST0001,A0002,9,33938,15016,52859
ST0001,A0002,10,33929,14330,53528
ST0001,A0002,11,33933,13683,54183
ST0001,A0002,12,33931,13049,54814
ST0002,A0001,1,160870,111229,210511
ST0002,A0001,2,149982,88734,211230
ST0002,A0001,3,155364,91867,218861
ST0002,A0001,4,152704,84013,221394
ST0002,A0001,5,154018,82033,226004
ST0002,A0001,6,153369,77538,229199
ST0002,A0001,7,153690,74535,232845
ST0002,A0001,8,153531,71029,236033
ST0002,A0001,9,153609,67966,239253
ST0002,A0001,10,153571,64861,242280
ST0002,A0001,11,153590,61934,245246
ST0002,A0001,12,153580,59061,248099
ST0002,A0002,1,113511,78484,148538
ST0002,A0002,2,105828,62611,149045
ST0002,A0002,3,109625,64822,154429
ST0002,A0002,4,107748,59280,156217
ST0002,A0002,5,108676,57883,159470
ST0002,A0002,6,108217,54711,161724
ST0002,A0002,7,108444,52592,164296
ST0002,A0002,8,108332,50118,166546
ST0002,A0002,9,108387,47957,168818
ST0002,A0002,10,108360,45766,170954
ST0002,A0002,11,108374,43701,173047
ST0002,A0002,12,108367,41674,175060
ST0003,A0001,1,24674,17060,32287
ST0003,A0001,2,23004,13610,32398
ST0003,A0001,3,23829,14090,33568
ST0003,A0001,4,23421,12886,33957
ST0003,A0001,5,23623,12582,34664
ST0003,A0001,6,23523,11892,35154
ST0003,A0001,7,23572,11432,35713
ST0003,A0001,8,23548,10894,36202
ST0003,A0001,9,23560,10424,36696
ST0003,A0001,10,23554,9948,37160
ST0003,A0001,11,23557,9499,37615
ST0003,A0001,12,23556,9059,38052
ST0003,A0002,1,17700,12238,23162
ST0003,A0002,2,16502,9763,23241
ST0003,A0002,3,17094,10108,24081
ST0003,A0002,4,16802,9244,24360
ST0003,A0002,5,16946,9026,24867
ST0003,A0002,6,16875,8531,25218
ST0003,A0002,7,16910,8201,25619
ST0003,A0002,8,16893,7815,25970
ST0003,A0002,9,16901,7478,26325
ST0003,A0002,10,16897,7137,26658
ST0003,A0002,11,16899,6814,26984
ST0003,A0002,12,16898,6498,27298
ST0004,A0001,1,26602,18393,34811
ST0004,A0001,2,24801,14673,34929
ST0004,A0001,3,25691,15191,36191
ST0004,A0001,4,25251,13893,36610
ST0004,A0001,5,25469,13565,37373
ST0004,A0001,6,25361,12822,37901
ST0004,A0001,7,25414,12325,38504
ST0004,A0001,8,25388,11745,39031
ST0004,A0001,9,25401,11239,39563
ST0004,A0001,10,25395,10726,40064
ST0004,A0001,11,25398,10241,40554
ST0004,A0001,12,25396,9767,41026
ST0004,A0002,1,10502,7261,13742
ST0004,A0002,2,9791,5793,13789
ST0004,A0002,3,10142,5997,14287
ST0004,A0002,4,9968,5484,14453
ST0004,A0002,5,10054,5355,14754
ST0004,A0002,6,10012,5062,14962
ST0004,A0002,7,10033,4866,15200
ST0004,A0002,8,10022,4637,15408
ST0004,A0002,9,10028,4437,15618
ST0004,A0002,10,10025,4234,15816
ST0004,A0002,11,10026,4043,16010
ST0004,A0002,12,10026,3856,16196
ST0005,A0001,1,3673,2539,4806
ST0005,A0001,2,3424,2026,4823
ST0005,A0001,3,3547,2097,4997
ST0005,A0001,4,3486,1918,5055
ST0005,A0001,5,3516,1873,5160
ST0005,A0001,6,3502,1770,5233
ST0005,A0001,7,3509,1702,5316
ST0005,A0001,8,3505,1622,5389
ST0005,A0001,9,3507,1552,5462
ST0005,A0001,10,3506,1481,5532
ST0005,A0001,11,3507,1414,5599
ST0005,A0001,12,3506,1348,5664
ST0005,A0002,1,11219,7757,14681
ST0005,A0002,2,10460,6188,14731
ST0005,A0002,3,10835,6407,15263
ST0005,A0002,4,10649,5859,15440
ST0005,A0002,5,10741,5721,15761
ST0005,A0002,6,10696,5407,15984
ST0005,A0002,7,10718,5198,16238
ST0005,A0002,8,10707,4953,16461
ST0005,A0002,9,10712,4740,16685
ST0005,A0002,10,10710,4523,16896
ST0005,A0002,11,10711,4319,17103
ST0005,A0002,12,10710,4119,17302
ST0007,A0001,1,6937,4796,9077
ST0007,A0001,2,6467,3826,9108
ST0007,A0001,3,6699,3961,9437
ST0007,A0001,4,6585,3623,9547
ST0007,A0001,5,6641,3537,9745
ST0007,A0001,6,6613,3343,9883
ST0007,A0001,7,6627,3214,10040
ST0007,A0001,8,6620,3063,10178
ST0007,A0001,9,6624,2931,10317
ST0007,A0001,10,6622,2797,10447
ST0007,A0001,11,6623,2671,10575
ST0007,A0001,12,6622,2547,10698
ST0007,A0002,1,20754,14350,27158
ST0007,A0002,2,19349,11447,27251
ST0007,A0002,3,20043,11852,28235
ST0007,A0002,4,19700,10838,28562
ST0007,A0002,5,19870,10583,29157
ST0007,A0002,6,19786,10003,29569
ST0007,A0002,7,19827,9616,30039
ST0007,A0002,8,19807,9163,30450
ST0007,A0002,9,19817,8768,30866
ST0007,A0002,10,19812,8368,31256
ST0007,A0002,11,19814,7990,31639
ST0007,A0002,12,19813,7619,32007
ST0008,A0002,1,5667,3918,7415
ST0008,A0002,2,5283,3126,7441
ST0008,A0002,3,5473,3236,7709
ST0008,A0002,4,5379,2959,7799
ST0008,A0002,5,5425,2890,7961
ST0008,A0002,6,5402,2731,8074
ST0008,A0002,7,5414,2625,8202
ST0008,A0002,8,5408,2502,8314
ST0008,A0002,9,5411,2394,8428
ST0008,A0002,10,5410,2285,8534
ST0008,A0002,11,5410,2182,8639
ST0008,A0002,12,5410,2080,8739
ST0009,A0001,1,18667,12907,24427
ST0009,A0001,2,17403,10296,24510
ST0009,A0001,3,18028,10660,25396
ST0009,A0001,4,17719,9748,25690
ST0009,A0001,5,17872,9519,26225
ST0009,A0001,6,17796,8997,26595
ST0009,A0001,7,17833,8649,27018
ST0009,A0001,8,17815,8242,27388
ST0009,A0001,9,17824,7886,27762
ST0009,A0001,10,17820,7526,28113
ST0009,A0001,11,17822,7187,28457
ST0009,A0001,12,17821,6853,28788
ST0009,A0002,1,11449,7916,14982
ST0009,A0002,2,10674,6315,15033
ST0009,A0002,3,11057,6538,15576
ST0009,A0002,4,10868,5979,15757
ST0009,A0002,5,10961,5838,16085
ST0009,A0002,6,10915,5518,16312
ST0009,A0002,7,10938,5305,16572
ST0009,A0002,8,10927,5055,16798
ST0009,A0002,9,10932,4837,17028
ST0009,A0002,10,10930,4616,17243
ST0009,A0002,11,10931,4408,17454
ST0009,A0002,12,10930,4203,17657
ST0011,A0001,1,60859,42079,79639
ST0011,A0001,2,56740,33569,79911
ST0011,A0001,3,58776,34754,82797
ST0011,A0001,4,57769,31783,83756
ST0011,A0001,5,58267,31034,85500
ST0011,A0001,6,58021,29333,86708
ST0011,A0001,7,58142,28197,88088
ST0011,A0001,8,58082,26871,89294
ST0011,A0001,9,58112,25712,90512
ST0011,A0001,10,58097,24538,91657
ST0011,A0001,11,58105,23430,92779
ST0011,A0001,12,58101,22344,93859
ST0011,A0002,1,13185,9116,17253
ST0011,A0002,2,12292,7273,17312
ST0011,A0002,3,12734,7529,17938
ST0011,A0002,4,12516,6886,18145
ST0011,A0002,5,12623,6723,18523
ST0011,A0002,6,12570,6355,18785
ST0011,A0002,7,12596,6109,19084
ST0011,A0002,8,12583,5821,19345
ST0011,A0002,9,12590,5570,19609
ST0011,A0002,10,12587,5316,19857
ST0011,A0002,11,12588,5076,20100
ST0011,A0002,12,12587,4841,20334
ST0012,A0001,1,44637,30863,58411
ST0012,A0001,2,41616,24621,58611
ST0012,A0001,3,43109,25491,60728
ST0012,A0001,4,42371,23311,61431
ST0012,A0001,5,42736,22762,62710
ST0012,A0001,6,42556,21515,63597
ST0012,A0001,7,42645,20681,64608
ST0012,A0001,8,42601,19709,65493
ST0012,A0001,9,42623,18859,66386
ST0012,A0001,10,42612,17997,67226
ST0012,A0001,11,42617,17185,68049
ST0012,A0001,12,42614,16388,68841
ST0012,A0002,1,39324,27189,51458
ST0012,A0002,2,36662,21690,51634
ST0012,A0002,3,37978,22456,53499
ST0012,A0002,4,37328,20536,54119
ST0012,A0002,5,37649,20052,55245
ST0012,A0002,6,37490,18954,56026
ST0012,A0002,7,37569,18220,56918
ST0012,A0002,8,37530,17363,57697
ST0012,A0002,9,37549,16614,58484
ST0012,A0002,10,37540,15855,59224
ST0012,A0002,11,37544,15139,59949
ST0012,A0002,12,37542,14437,60647
ST0013,A0001,1,16552,11445,21660
ST0013,A0001,2,15432,9130,21734
ST0013,A0001,3,15986,9452,22519
ST0013,A0001,4,15712,8644,22780
ST0013,A0001,5,15847,8440,23254
ST0013,A0001,6,15780,7978,23583
ST0013,A0001,7,15813,7669,23958
ST0013,A0001,8,15797,7308,24286
ST0013,A0001,9,15805,6993,24617
ST0013,A0001,10,15801,6674,24929
ST0013,A0001,11,15803,6372,25234
ST0013,A0001,12,15802,6077,25527
ST0013,A0002,1,14796,10230,19362
ST0013,A0002,2,13795,8161,19428
ST0013,A0002,3,14290,8450,20130
ST0013,A0002,4,14045,7727,20363
ST0013,A0002,5,14166,7545,20787
ST0013,A0002,6,14106,7132,21081
ST0013,A0002,7,14136,6855,21416
ST0013,A0002,8,14121,6533,21710
ST0013,A0002,9,14128,6251,22006
ST0013,A0002,10,14125,5966,22284
ST0013,A0002,11,14127,5696,22557
ST0013,A0002,12,14126,5432,22819
ST0014,A0001,1,8898,6152,11644
ST0014,A0001,2,8296,4908,11683
ST0014,A0001,3,8593,5081,12105
ST0014,A0001,4,8446,4647,12246
ST0014,A0001,5,8519,4537,12501
ST0014,A0001,6,8483,4289,12677
ST0014,A0001,7,8501,4123,12879
ST0014,A0001,8,8492,3929,13055
ST0014,A0001,9,8496,3759,13233
ST0014,A0001,10,8494,3588,13401
ST0014,A0001,11,8495,3426,13565
ST0014,A0001,12,8495,3267,13723
ST0014,A0002,1,14027,9699,18356
ST0014,A0002,2,13078,7737,18419
ST0014,A0002,3,13547,8011,19084
ST0014,A0002,4,13315,7326,19305
ST0014,A0002,5,13430,7153,19707
ST0014,A0002,6,13373,6761,19985
ST0014,A0002,7,13401,6499,20303
ST0014,A0002,8,13387,6194,20581
ST0014,A0002,9,13394,5926,20862
ST0014,A0002,10,13391,5656,21126
ST0014,A0002,11,13393,5400,21385
ST0014,A0002,12,13392,5150,21634
ST0015,A0001,1,15362,10622,20102
ST0015,A0001,2,14322,8473,20171
ST0015,A0001,3,14836,8773,20900
ST0015,A0001,4,14582,8023,21142
ST0015,A0001,5,14708,7834,21582
ST0015,A0001,6,14646,7404,21887
ST0015,A0001,7,14676,7118,22235
ST0015,A0001,8,14661,6783,22540
ST0015,A0001,9,14669,6490,22847
ST0015,A0001,10,14665,6194,23136
ST0015,A0001,11,14667,5914,23419
ST0015,A0001,12,14666,5640,23692
ST0015,A0002,1,9356,6469,12243
ST0015,A0002,2,8723,5161,12285
ST0015,A0002,3,9036,5343,12729
ST0015,A0002,4,8881,4886,12876
ST0015,A0002,5,8958,4771,13144
ST0015,A0002,6,8920,4510,13330
ST0015,A0002,7,8938,4335,13542
ST0015,A0002,8,8929,4131,13727
ST0015,A0002,9,8934,3953,13915
ST0015,A0002,10,8932,3772,14091
ST0015,A0002,11,8933,3602,14263
ST0015,A0002,12,8932,3435,14429
ST0016,A0001,1,38381,26538,50225
ST0016,A0001,2,35783,21170,50396
ST0016,A0001,3,37067,21918,52217
ST0016,A0001,4,36433,20044,52821
ST0016,A0001,5,36746,19572,53921
ST0016,A0001,6,36591,18499,54683
ST0016,A0001,7,36668,17783,55553
ST0016,A0001,8,36630,16946,56314
ST0016,A0001,9,36649,16216,57082
ST0016,A0001,10,36640,15475,57804
ST0016,A0001,11,36644,14776,58512
ST0016,A0001,12,36642,14091,59193
ST0016,A0002,1,37671,26047,49296
ST0016,A0002,2,35121,20779,49464
ST0016,A0002,3,36382,21513,51251
ST0016,A0002,4,35759,19673,51844
ST0016,A0002,5,36067,19210,52924
ST0016,A0002,6,35914,18157,53672
ST0016,A0002,7,35990,17454,54525
ST0016,A0002,8,35952,16633,55272
ST0016,A0002,9,35971,15916,56026
ST0016,A0002,10,35962,15189,56735
ST0016,A0002,11,35966,14503,57429
ST0016,A0002,12,35964,13830,58098
ST0017,A0001,1,5270,3644,6896
ST0017,A0001,2,4913,2907,6919
ST0017,A0001,3,5089,3009,7169
ST0017,A0001,4,5002,2752,7252
ST0017,A0001,5,5045,2687,7403
ST0017,A0001,6,5024,2540,7508
ST0017,A0001,7,5035,2442,7627
ST0017,A0001,8,5029,2327,7732
ST0017,A0001,9,5032,2226,7837
ST0017,A0001,10,5031,2125,7937
ST0017,A0001,11,5031,2029,8034
ST0017,A0001,12,5031,1935,8127
ST0017,A0002,1,30778,21281,40276
ST0017,A0002,2,28695,16977,40413
ST0017,A0002,3,29725,17576,41873
ST0017,A0002,4,29216,16074,42358
ST0017,A0002,5,29467,15695,43240
ST0017,A0002,6,29343,14835,43851
ST0017,A0002,7,29405,14260,44549
ST0017,A0002,8,29374,13590,45159
ST0017,A0002,9,29389,13004,45775
ST0017,A0002,10,29382,12409,46354
ST0017,A0002,11,29385,11849,46921
ST0017,A0002,12,29384,11300,47467
ST0018,A0001,1,14719,10177,19260
ST0018,A0001,2,13722,8119,19326
ST0018,A0001,3,14215,8405,20024
ST0018,A0001,4,13971,7687,20256
ST0018,A0001,5,14092,7505,20678
ST0018,A0001,6,14032,7094,20970
ST0018,A0001,7,14062,6819,21304
ST0018,A0001,8,14047,6499,21595
ST0018,A0001,9,14054,6218,21890
ST0018,A0001,10,14051,5934,22167
ST0018,A0001,11,14052,5667,22438
ST0018,A0001,12,14052,5404,22699
ST0018,A0002,1,14804,10236,19373
ST0018,A0002,2,13802,8166,19439
ST0018,A0002,3,14298,8454,20141
ST0018,A0002,4,14053,7731,20374
ST0018,A0002,5,14174,7549,20798
ST0018,A0002,6,14114,7136,21092
ST0018,A0002,7,14144,6859,21428
ST0018,A0002,8,14129,6537,21721
ST0018,A0002,9,14136,6255,22018
ST0018,A0002,10,14133,5969,22296
ST0018,A0002,11,14134,5700,22569
ST0018,A0002,12,14133,5435,22832
ST0019,A0001,1,5401,3735,7068
ST0019,A0001,2,5036,2979,7092
ST0019,A0001,3,5216,3084,7348
ST0019,A0001,4,5127,2821,7433
ST0019,A0001,5,5171,2754,7588
ST0019,A0001,6,5149,2603,7695
ST0019,A0001,7,5160,2503,7818
ST0019,A0001,8,5155,2385,7925
ST0019,A0001,9,5157,2282,8033
ST0019,A0001,10,5156,2178,8135
ST0019,A0001,11,5157,2079,8234
ST0019,A0001,12,5156,1983,8330
ST0019,A0002,1,4897,3386,6408
ST0019,A0002,2,4566,2701,6430
ST0019,A0002,3,4729,2797,6662
ST0019,A0002,4,4649,2557,6740
ST0019,A0002,5,4689,2497,6880
ST0019,A0002,6,4669,2360,6977
ST0019,A0002,7,4679,2269,7088
ST0019,A0002,8,4674,2162,7185
ST0019,A0002,9,4676,2069,7283
ST0019,A0002,10,4675,1974,7375
ST0019,A0002,11,4675,1885,7466
ST0019,A0002,12,4675,1798,7552
ST0020,A0001,1,20483,14162,26804
ST0020,A0001,2,19097,11298,26895
ST0020,A0001,3,19782,11697,27867
ST0020,A0001,4,19443,10697,28189
ST0020,A0001,5,19611,10445,28776
ST0020,A0001,6,19528,9873,29183
ST0020,A0001,7,19569,9490,29647
ST0020,A0001,8,19549,9044,30053
ST0020,A0001,9,19559,8654,30463
ST0020,A0001,10,19554,8259,30849
ST0020,A0001,11,19556,7886,31226
ST0020,A0001,12,19555,7520,31590
ST0020,A0002,1,14600,10094,19105
ST0020,A0002,2,13611,8053,19170
ST0020,A0002,3,14100,8337,19862
ST0020,A0002,4,13858,7624,20092
ST0020,A0002,5,13978,7445,20511
ST0020,A0002,6,13919,7037,20801
ST0020,A0002,7,13948,6764,21131
ST0020,A0002,8,13933,6446,21421
ST0020,A0002,9,13941,6168,21713
ST0020,A0002,10,13937,5886,21988
ST0020,A0002,11,13939,5621,22257
ST0020,A0002,12,13938,5360,22516
ST0021,A0001,1,24171,16712,31629
ST0021,A0001,2,22535,13332,31737
ST0021,A0001,3,23343,13803,32884
ST0021,A0001,4,22944,12623,33265
ST0021,A0001,5,23141,12325,33957
ST0021,A0001,6,23044,11650,34437
ST0021,A0001,7,23092,11199,34985
ST0021,A0001,8,23068,10672,35464
ST0021,A0001,9,23080,10212,35948
ST0021,A0001,10,23074,9745,36403
ST0021,A0001,11,23077,9306,36848
ST0021,A0001,12,23075,8874,37277
ST0021,A0002,1,7805,5396,10213
ST0021,A0002,2,7277,4305,10248
ST0021,A0002,3,7538,4457,10618
ST0021,A0002,4,7409,4076,10741
ST0021,A0002,5,7472,3980,10965
ST0021,A0002,6,7441,3762,11120
ST0021,A0002,7,7456,3616,11297
ST0021,A0002,8,7449,3446,11451
ST0021,A0002,9,7453,3297,11608
ST0021,A0002,10,7451,3147,11754
ST0021,A0002,11,7452,3005,11898
ST0021,A0002,12,7451,2865,12037
ST0022,A0001,1,27643,19113,36173
ST0022,A0001,2,25772,15247,36296
ST0022,A0001,3,26697,15786,37608
ST0022,A0001,4,26240,14436,38043
ST0022,A0001,5,26466,14096,38835
ST0022,A0001,6,26354,13324,39384
ST0022,A0001,7,26409,12808,40011
ST0022,A0001,8,26382,12205,40558
ST0022,A0001,9,26395,11679,41112
ST0022,A0001,10,26389,11145,41632
ST0022,A0001,11,26392,10642,42142
ST0022,A0001,12,26390,10149,42632
ST0022,A0002,1,23450,16214,30686
ST0022,A0002,2,21862,12934,30790
ST0022,A0002,3,22647,13391,31903
ST0022,A0002,4,22259,12246,32272
ST0022,A0002,5,22451,11958,32944
ST0022,A0002,6,22356,11303,33410
ST0022,A0002,7,22403,10865,33941
ST0022,A0002,8,22380,10354,34406
ST0022,A0002,9,22391,9907,34875
ST0022,A0002,10,22386,9455,35317
ST0022,A0002,11,22388,9028,35749
ST0022,A0002,12,22387,8609,36165
ST0023,A0001,1,30409,21025,39792
ST0023,A0001,2,28350,16773,39928
ST0023,A0001,3,29368,17365,41370
ST0023,A0001,4,28865,15881,41849
ST0023,A0001,5,29113,15506,42721
ST0023,A0001,6,28991,14657,43324
ST0023,A0001,7,29051,14089,44014
ST0023,A0001,8,29021,13426,44616
ST0023,A0001,9,29036,12847,45225
ST0023,A0001,10,29029,12260,45797
ST0023,A0001,11,29032,11707,46358
ST0023,A0001,12,29031,11164,46897
ST0023,A0002,1,32853,22715,42991
ST0023,A0002,2,30629,18121,43137
ST0023,A0002,3,31728,18761,44696
ST0023,A0002,4,31185,17157,45213
ST0023,A0002,5,31454,16753,46155
ST0023,A0002,6,31321,15835,46807
ST0023,A0002,7,31386,15222,47551
ST0023,A0002,8,31354,14506,48203
ST0023,A0002,9,31370,13880,48860
ST0023,A0002,10,31362,13246,49478
ST0023,A0002,11,31366,12648,50084
ST0023,A0002,12,31364,12062,50667
ST0024,A0001,1,11833,8182,15485
