Code Station,N° article,Horizon,Prevision_L,IC_bas_L,IC_haut_L
ST0001,A0001,1,90815,46495,135135
ST0001,A0001,2,90815,46495,135135
ST0001,A0001,3,90815,46495,135135
ST0001,A0001,4,90815,46495,135135
ST0001,A0001,5,90815,46495,135135
ST0001,A0001,6,90815,46495,135135
ST0001,A0001,7,90815,46495,135135
ST0001,A0001,8,90815,46495,135135
ST0001,A0001,9,90815,46495,135135
ST0001,A0001,10,90815,46495,135135
ST0001,A0001,11,90815,46495,135135
ST0001,A0001,12,90815,46495,135135
ST0006,A0001,1,18900,0,3342101845796087296
ST0006,A0001,2,21969,0,3657677902360355328
ST0006,A0001,3,23333,0,3716915765362981888
ST0006,A0001,4,23940,0,3728519464200145920
ST0006,A0001,5,24210,0,3730809993273938432
ST0006,A0001,6,24330,0,3731262812830482432
ST0006,A0001,7,24383,0,3731352358104494592
ST0006,A0001,8,24407,0,3731370066755836416
ST0006,A0001,9,24418,0,3731373568894296576
ST0006,A0001,10,24422,0,3731374261493723136
ST0006,A0001,11,24424,0,3731374398465515520
ST0006,A0001,12,24425,0,3731374425553717760
ST0010,A0001,1,52660,24605,80715
ST0010,A0001,2,52660,22222,83098
ST0010,A0001,3,52660,20012,85308
ST0010,A0001,4,52660,17943,87377
ST0010,A0001,5,52660,15990,89330
ST0010,A0001,6,52660,14136,91184
ST0010,A0001,7,52660,12368,92952
ST0010,A0001,8,52660,10674,94646
ST0010,A0001,9,52660,9045,96275
ST0010,A0001,10,52660,7475,97845
ST0010,A0001,11,52660,5958,99362
ST0010,A0001,12,52660,4489,100831
ST0029,A0001,1,68000,45269,90731
ST0029,A0001,2,68000,35854,100146
ST0029,A0001,3,68000,28630,107370
ST0029,A0001,4,68000,22539,113461
ST0029,A0001,5,68000,17173,118827
ST0029,A0001,6,68000,12322,123678
ST0029,A0001,7,68000,7861,128139
ST0029,A0001,8,68000,3708,132292
ST0029,A0001,9,68000,0,136192
ST0029,A0001,10,68000,0,139880
ST0029,A0001,11,68000,0,143389
ST0029,A0001,12,68000,0,146741
ST0029,A0002,1,38846,22165,55527
ST0029,A0002,2,38846,22165,55527
ST0029,A0002,3,38846,22165,55527
ST0029,A0002,4,38846,22165,55527
ST0029,A0002,5,38846,22165,55527
ST0029,A0002,6,38846,22165,55527
ST0029,A0002,7,38846,22165,55527
ST0029,A0002,8,38846,22165,55527
ST0029,A0002,9,38846,22165,55527
ST0029,A0002,10,38846,22165,55527
ST0029,A0002,11,38846,22165,55527
ST0029,A0002,12,38846,22165,55527
ST0032,A0002,1,6095,2397,9793
ST0032,A0002,2,6095,2397,9793
ST0032,A0002,3,6095,2397,9793
ST0032,A0002,4,6095,2397,9793
ST0032,A0002,5,6095,2397,9793
ST0032,A0002,6,6095,2397,9793
ST0032,A0002,7,6095,2397,9793
ST0032,A0002,8,6095,2397,9793
ST0032,A0002,9,6095,2397,9793
ST0032,A0002,10,6095,2397,9793
ST0032,A0002,11,6095,2397,9793
ST0032,A0002,12,6095,2397,9793
ST0039,A0001,1,80935,44952,116918
ST0039,A0001,2,80935,44334,117536
ST0039,A0001,3,80935,43726,118144
ST0039,A0001,4,80935,43128,118742
ST0039,A0001,5,80935,42540,119331
ST0039,A0001,6,80935,41960,119910
ST0039,A0001,7,80935,41388,120482
ST0039,A0001,8,80935,40825,121045
ST0039,A0001,9,80935,40270,121600
ST0039,A0001,10,80935,39722,122148
ST0039,A0001,11,80935,39181,122689
ST0039,A0001,12,80935,38647,123223
ST0039,A0002,1,73145,34277,112014
ST0039,A0002,2,69491,28519,110463
ST0039,A0002,3,69491,28519,110463
ST0039,A0002,4,69491,28519,110463
ST0039,A0002,5,69491,28519,110463
ST0039,A0002,6,69491,28519,110463
ST0039,A0002,7,69491,28519,110463
ST0039,A0002,8,69491,28519,110463
ST0039,A0002,9,69491,28519,110463
ST0039,A0002,10,69491,28519,110463
ST0039,A0002,11,69491,28519,110463
ST0039,A0002,12,69491,28519,110463
ST0054,A0002,1,30000,21751,38249
ST0054,A0002,2,30000,21203,38797
ST0054,A0002,3,30000,19165,40835
ST0054,A0002,4,30000,18356,41644
ST0054,A0002,5,30000,17095,42905
ST0054,A0002,6,30000,16250,43750
ST0054,A0002,7,30000,15278,44722
ST0054,A0002,8,30000,14472,45528
ST0054,A0002,9,30000,13644,46356
ST0054,A0002,10,30000,12893,47107
ST0054,A0002,11,30000,12151,47849
ST0054,A0002,12,30000,11452,48548
ST0066,A0002,1,87089,52800,121377
ST0066,A0002,2,87089,50341,123836
ST0066,A0002,3,87089,48037,126140
ST0066,A0002,4,87089,45862,128315
ST0066,A0002,5,87089,43796,130382
ST0066,A0002,6,87089,41823,132354
ST0066,A0002,7,87089,39934,134243
ST0066,A0002,8,87089,38117,136060
ST0066,A0002,9,87089,36365,137812
ST0066,A0002,10,87089,34672,139505
ST0066,A0002,11,87089,33032,141146
ST0066,A0002,12,87089,31440,142737
ST0067,A0001,1,52894,23078,82710
ST0067,A0001,2,53782,22595,84969
ST0067,A0001,3,54054,22741,85368
ST0067,A0001,4,54138,22813,85463
ST0067,A0001,5,54164,22837,85490
ST0067,A0001,6,54171,22845,85498
ST0067,A0001,7,54174,22848,85500
ST0067,A0001,8,54175,22848,85501
ST0067,A0001,9,54175,22849,85501
ST0067,A0001,10,54175,22849,85501
ST0067,A0001,11,54175,22849,85501
ST0067,A0001,12,54175,22849,85501
ST0081,A0001,1,14484,5692,23276
ST0081,A0001,2,14484,5692,23276
ST0081,A0001,3,14484,5692,23276
ST0081,A0001,4,14484,5692,23276
ST0081,A0001,5,14484,5692,23276
ST0081,A0001,6,14484,5692,23276
ST0081,A0001,7,14484,5692,23276
ST0081,A0001,8,14484,5692,23276
ST0081,A0001,9,14484,5692,23276
ST0081,A0001,10,14484,5692,23276
ST0081,A0001,11,14484,5692,23276
ST0081,A0001,12,14484,5692,23276
ST0084,A0001,1,150000,89686,210314
ST0084,A0001,2,150000,64704,235296
ST0084,A0001,3,150000,45534,254466
ST0084,A0001,4,150000,29373,270627
ST0084,A0001,5,150000,15135,284865
ST0084,A0001,6,150000,2262,297738
ST0084,A0001,7,150000,0,309575
ST0084,A0001,8,150000,0,320593
ST0084,A0001,9,150000,0,330941
ST0084,A0001,10,150000,0,340729
ST0084,A0001,11,150000,0,350038
ST0084,A0001,12,150000,0,358933
ST0084,A0002,1,51170,31313,71027
ST0084,A0002,2,51800,31123,72477
ST0084,A0002,3,51983,31238,72727
ST0084,A0002,4,52036,31286,72786
ST0084,A0002,5,52051,31301,72802
ST0084,A0002,6,52056,31305,72806
ST0084,A0002,7,52057,31307,72807
ST0084,A0002,8,52057,31307,72808
ST0084,A0002,9,52057,31307,72808
ST0084,A0002,10,52058,31307,72808
ST0084,A0002,11,52058,31307,72808
ST0084,A0002,12,52058,31307,72808
