Code Station,N° article,mean,std,count,CV,Segment_Quantiles,Cluster_KMeans,Segment_KMeans,Segment_Optimal
ST0001,A0001,90814.81481481482,23043.499061619284,27,0.2537416291450737,Stable,1,Stable,Stable
ST0001,A0002,48384.61538461538,24496.655972727254,26,0.5062901870356984,Modere,0,Modere,Modere
ST0002,A0001,219000.0,70694.5492824278,58,0.3228061611069763,Stable,1,Stable,Stable
ST0002,A0002,154527.27272727274,174682.55383064048,55,1.1304318697123457,Erratique,2,Erratique,Erratique
ST0003,A0001,33589.28571428572,19220.043312517922,56,0.5722075627331226,Modere,0,Modere,Modere
ST0003,A0002,24096.153846153848,13080.834079337656,52,0.5428598340986098,Modere,0,Modere,Modere
ST0004,A0001,36214.28571428572,12807.281328465268,28,0.3536527388530843,Modere,1,Stable,Stable
ST0004,A0002,14296.296296296296,5895.33593232699,27,0.4123680574425615,Modere,1,Stable,Modere
ST0005,A0002,15272.727272727272,8575.612254592994,22,0.5614984214316842,Modere,0,Modere,Modere
ST0006,A0001,23375.0,5785.425986576431,40,0.2475048550407029,Stable,1,Stable,Stable
ST0006,A0002,6937.5,4500.448006372756,32,0.6487132261438207,Erratique,0,Modere,Erratique
ST0007,A0001,9443.414634146342,3733.668176040888,41,0.39537268251892244,Modere,1,Stable,Stable
ST0007,A0002,28252.962962962964,20714.03686225062,54,0.7331633460676255,Erratique,2,Erratique,Erratique
ST0009,A0001,25411.764705882353,12699.600678663262,34,0.49975280448443393,Modere,0,Modere,Modere
ST0009,A0002,15586.206896551725,5895.017517115076,29,0.37822015043437435,Modere,1,Stable,Stable
ST0010,A0001,67466.66666666667,18885.44113876214,60,0.27992254652315424,Stable,1,Stable,Stable
ST0010,A0002,22483.333333333332,13779.734157316956,60,0.6128866193024591,Erratique,0,Modere,Modere
ST0011,A0001,82850.0,30923.538837547163,60,0.3732473003928444,Modere,1,Stable,Stable
ST0011,A0002,17949.15254237288,8245.006281366796,59,0.4593535133150528,Modere,0,Modere,Modere
ST0012,A0001,60766.666666666664,26165.941549562867,60,0.43059695364063966,Modere,0,Modere,Modere
ST0012,A0002,53533.333333333336,28623.486070048497,60,0.5346852939610554,Modere,0,Modere,Modere
ST0013,A0001,22533.333333333332,10446.234226926445,15,0.4635902763428896,Modere,0,Modere,Modere
ST0013,A0002,20142.85714285714,10861.768823631905,14,0.5392367501093853,Modere,0,Modere,Modere
ST0014,A0001,12113.207547169812,5497.063472571552,53,0.45380742063285395,Modere,0,Modere,Modere
ST0014,A0002,19096.153846153848,8416.27651680004,52,0.4407314993691864,Modere,0,Modere,Modere
ST0015,A0001,20913.043478260868,6921.068253582751,23,0.330945051626618,Stable,1,Stable,Stable
ST0015,A0002,12736.842105263158,3841.9049855675316,19,0.3016371682883599,Stable,1,Stable,Stable
ST0016,A0001,52250.0,17473.102816440423,60,0.3344134510323526,Stable,1,Stable,Stable
ST0016,A0002,51283.333333333336,23021.796353556616,60,0.4489138060492028,Modere,0,Modere,Modere
ST0017,A0001,7173.913043478261,1922.407910385578,23,0.26797201175071694,Stable,1,Stable,Stable
ST0017,A0002,41900.0,16628.496521084642,30,0.39686149214999145,Modere,1,Stable,Stable
ST0018,A0001,20037.037037037036,10981.911307275546,54,0.5480806012873193,Modere,0,Modere,Modere
