Station,Produit,N_commandes,Total_litres,Moyenne_mensuelle,Fréquence_jours,ADF_pvalue,Stationnaire,AIC,Modele_AR,Modele_I,Modele_MA,Modele_SAR,Modele_SI,Modele_SMA,Volume,Profil
ST0001,A0001,323,3138000,78450.0,3.6925465838509317,0.0002919595136023313,True,911.640193316842,2,1,0,0,0,0,Moyen,Standard
ST0001,A0002,268,1878000,46950.0,4.456928838951311,0.3881891254625739,False,919.0971864222017,2,0,0,0,0,0,Moyen,Standard
ST0002,A0001,1158,15821000,226014.2857142857,1.8392394122731202,0.1848925769531527,False,1735.426512797878,2,1,0,0,0,0,Élevé,Haute activité en croissance
ST0002,A0002,712,10524000,150342.85714285713,2.9718706047819974,0.0034149351744348377,True,1816.7414902404332,0,1,2,0,0,0,Élevé,Haute activité stable
ST0003,A0001,327,2619000,37414.28571428572,6.515337423312883,0.0018971259895827599,True,1585.203949899475,1,0,0,0,0,0,Moyen,Standard
ST0003,A0002,265,1469000,21602.941176470587,7.75,1.038533700514467e-10,True,1467.1005150069882,0,1,1,1,0,0,Moyen,Standard
ST0004,A0001,291,1418000,35450.0,4.1,0.4353967302826758,False,864.1637964877109,1,0,0,0,0,0,Moyen,Standard
ST0004,A0002,149,619000,15871.794871794871,7.763513513513513,0.886808625388425,False,762.4525011128552,0,1,0,0,0,0,Faible,Standard
ST0005,A0002,86,499000,12170.731707317073,14.611764705882353,0.11779193765462337,False,844.8189436981052,1,0,0,0,0,0,Très faible,Basse activité
ST0006,A0001,378,1331000,25596.153846153848,4.1458885941644565,0.028070865578087037,True,1029.3987074471747,0,1,1,0,0,0,Moyen,Standard
ST0006,A0002,96,298000,6081.632653061224,15.294736842105262,0.07287283816467618,False,928.7588807331084,1,0,0,0,0,0,Très faible,Basse activité
ST0007,A0001,86,506180,7443.823529411765,24.188235294117646,0.02501266277552812,True,1329.8647323800874,1,1,2,1,0,0,Faible,Standard
ST0007,A0002,144,2121660,30748.695652173912,14.545454545454545,0.16457237458659502,False,1507.1152349655626,0,1,0,0,0,0,Moyen,Standard
ST0008,A0002,25,206000,10300.0,24.666666666666668,1.0,False,163.47062052823395,0,0,1,0,1,0,Très faible,Basse activité
ST0009,A0001,147,1136000,22720.0,10.397260273972602,1.1637751706446783e-07,True,1100.5040432852463,0,0,0,0,0,0,Moyen,Standard
ST0009,A0002,120,689000,13780.0,12.756302521008404,3.237167413204306e-05,True,1071.64615837688,1,0,0,0,0,0,Faible,Standard
ST0010,A0001,919,5252000,72944.44444444444,2.369281045751634,0.04854682828595018,True,1609.1334409809256,0,1,0,0,0,0,Élevé,Haute activité stable
ST0010,A0002,427,1598000,22194.444444444445,5.103286384976526,0.00013593313969821513,True,1545.9378434086198,1,0,0,0,0,0,Moyen,Standard
ST0011,A0001,931,7095000,98541.66666666667,2.3408602150537634,0.04617614090847649,True,1664.0873529145688,0,1,0,0,0,0,Élevé,Haute activité stable
ST0011,A0002,304,1425000,19791.666666666668,7.1551155115511555,0.09687643643580679,False,1491.3698631484651,2,1,1,0,0,0,Moyen,Standard
ST0012,A0001,431,4437125,61626.73611111111,5.055813953488372,0.5623192026095836,False,1570.137997483515,0,1,1,1,0,0,Moyen,Standard
ST0012,A0002,420,3867280,53712.22222222222,5.176610978520286,0.7195001148441419,False,1615.3079959668723,2,1,0,0,0,0,Moyen,Standard
ST0013,A0001,69,680000,25185.185185185186,11.588235294117647,0.00032687022389701306,True,576.4597355642032,0,0,0,0,0,0,Faible,Standard
ST0013,A0002,56,552000,20444.444444444445,14.454545454545455,0.0014961440200631506,True,inf,1,0,1,1,0,0,Faible,Standard
ST0014,A0001,166,801000,11955.223880597016,12.248484848484848,0.2709320447631889,False,1344.4088634837015,1,0,0,0,0,0,Faible,Standard
ST0014,A0002,200,1178000,17582.089552238805,10.160804020100503,2.7012349007486645e-06,True,1403.1991168822924,1,0,0,0,0,0,Moyen,Standard
ST0015,A0001,99,658000,17315.78947368421,11.561224489795919,0.0037660139590616807,True,797.1077141069095,1,0,0,0,0,0,Faible,Standard
ST0015,A0002,77,485000,12763.157894736842,14.921052631578947,5.653597956936349e-05,True,795.7427561942368,2,0,0,0,0,0,Très faible,Basse activité
ST0016,A0001,419,3786000,52583.333333333336,5.208133971291866,9.319581108980874e-06,True,1605.7683912355678,1,0,0,0,0,0,Moyen,Standard
ST0016,A0002,428,3429000,47625.0,5.0936768149882905,0.00036673515868599054,True,1624.4239873332033,1,0,0,0,0,0,Moyen,Standard
ST0017,A0001,45,266000,6333.333333333333,28.84090909090909,0.005466289595475574,True,821.565511267892,0,0,0,0,0,0,Très faible,Basse activité
ST0017,A0002,189,1851000,44071.42857142857,6.7712765957446805,2.209034085303498e-05,True,913.2519924856495,0,1,1,0,0,0,Moyen,Standard
ST0018,A0001,243,1258000,18500.0,8.508264462809917,0.020869606474821684,True,1441.5395168312486,2,0,0,0,0,0,Moyen,Standard
ST0018,A0002,227,1116000,16411.764705882353,9.084070796460177,0.024654009195437008,True,1469.6903264237526,1,0,0,0,0,0,Moyen,Standard
ST0019,A0001,54,410000,13666.666666666666,17.037735849056602,0.923900490426533,False,601.8946481212517,1,1,1,0,0,0,Très faible,Basse activité
ST0019,A0002,37,190000,6333.333333333333,24.88888888888889,0.0010791024784525599,True,572.24976028268,1,0,0,0,0,0,Très faible,Basse activité
ST0020,A0001,385,1142000,29282.05128205128,3.0,0.3420792621569517,False,808.8064588227332,1,0,0,0,0,0,Moyen,Standard
ST0020,A0002,212,669000,18583.333333333332,5.042654028436019,0.942088962753455,False,493.44709543931896,0,1,1,1,1,0,Faible,Standard
ST0021,A0001,196,1301000,35162.16216216216,5.630769230769231,0.0906401839997682,False,823.8876926304462,1,0,0,0,0,0,Moyen,Standard
ST0021,A0002,68,471000,12729.72972972973,16.313432835820894,0.021485425588926663,True,788.4531008335003,1,0,0,0,0,0,Très faible,Basse activité
ST0022,A0001,451,2714000,38771.42857142857,4.713333333333333,0.3997299673030973,False,1520.6970737018453,2,0,2,0,0,0,Moyen,Standard
ST0022,A0002,372,1973000,28185.714285714286,5.727762803234501,0.0077860983198070706,True,1543.2246502534192,1,0,0,0,0,0,Moyen,Standard
ST0023,A0001,431,3323000,47471.42857142857,4.932558139534883,0.31908720693115655,False,1567.846171343442,2,1,1,1,0,0,Moyen,Standard
ST0023,A0002,477,3279000,46842.857142857145,4.426470588235294,0.43064895937109876,False,1573.787536724597,1,1,1,0,0,0,Moyen,Standard
ST0024,A0001,141,932123,12946.152777777777,15.464285714285714,2.999219752532624e-08,True,1496.8412319274137,1,1,2,0,0,0,Faible,Standard
ST0024,A0002,346,5034500,69923.61111111111,6.298550724637681,2.8026262839722134e-07,True,1704.1490608093984,2,0,0,0,0,0,Élevé,Haute activité stable
ST0025,A0001,43,360000,24000.0,10.452380952380953,0.5788780739828924,False,inf,1,0,1,1,0,0,Très faible,Basse activité
ST0025,A0002,34,309000,20600.0,13.121212121212121,0.5822011708486778,False,inf,1,0,1,1,0,0,Très faible,Basse activité
ST0026,A0001,784,6170000,85694.44444444444,2.7790549169859515,0.020099130814840115,True,1653.1622400247018,0,1,0,0,0,0,Élevé,Haute activité stable
ST0026,A0002,398,1420000,19722.222222222223,5.4811083123425695,0.5533737976674699,False,1453.877885048057,0,1,1,1,0,0,Moyen,Standard
ST0027,A0001,141,910000,12638.888888888889,15.485714285714286,0.003869996635162314,True,1523.496703837653,1,0,0,0,0,0,Faible,Standard
ST0027,A0002,165,1639000,22763.88888888889,13.21951219512195,0.6531846650055774,False,1515.7592294202282,0,1,1,0,0,1,Moyen,Standard
ST0028,A0001,221,674000,10531.25,8.827272727272728,0.783687361465988,False,1224.0354801642998,2,1,2,1,0,0,Faible,Standard
